# DSRRL Diffuse exact-resource pair corpus v1
# recovered source: recovered-source/1.45/v12/asset_integrated_v12.c
# recovered source SHA256: 879b3ec251c36969cf7eabcc5b63164da7c17b6577e74b013e47f7866b3236e2
# canonical pair count: 528
# represented safe FLVER rows: 3446
# unique diffuse target hashes: 524
spec_hash	diffuse_hash	logical_names	row_uses
00178fc6032dce64	db8158e75415525a	BD_A_9470_1_s + BD_A_9470_1	6
001c55e4c9de9cba	b31ea758adcafbc0	LG_M_1000_s + LG_M_1000	6
012ee3088b73c9d7	9a8cee7738192295	AM_F_9320_s + AM_F_9320	2
0251a82fe613a8d0	66d0ad6657eb26ae	HD_F_9370_s + HD_F_9370	4
025aebf96526d296	6fbada665d0a37c4	HD_F_9480_s + HD_F_9480	4
0269092d7cf08dae	4211fe35f99a54ac	BD_M_9371_1_s + BD_M_9371_1	6
0272b4cdf9382a04	b7cecf9ad13cc83a	LG_M_9341_s + LG_M_9341	10
0342b74ca7a33af1	4d79947a15bc8237	LG_M_5320_s + LG_M_5320	2
037a464384ddc9ce	8e6a17d299fe378c	BD_F_9370_1_s + BD_F_9370_1	6
05d48469f7f32106	7f4a7d77284c63f4	AM_F_9420_s + AM_F_9420	2
068730cd07cbc676	85d561c9a40789e4	BD_A_2870_2_s + BD_A_2870_2	4
0759ecdb5c00e30f	c564f40f5dab40fd	BD_M_9270_2_s + BD_M_9270_2	2
084daa418db0bbf6	136b382c12150364	AM_M_9300_s + AM_M_9300	2
097bce9c0b5b6a00	83ef9aeede2c801e	BD_F_9230_2_s + BD_F_9230_2	4
097ca7119f625055	11f63c978b88ed93	BD_F_2540_BD_M_2540_s + BD_F_2540_BD_M_2540	4
099fe12fe9d418ab	66d0ae6657eb2861	HD_F_9371_s + HD_F_9371	4
09a4eb186711c351	0bd3ac6f2051d557	LG_F_9740_LG_M_9740_s + LG_F_9740_LG_M_9740	4
09c0cdcdfcf8637f	b7ced09ad13cc9ed	LG_M_9340_s + LG_M_9340	10
0ad0793dcfa9e49b	ae3ad94cf5941591	AM_A_9220_s + AM_A_9220	4
0b4a7563cdf066c2	f7a5e6c3626a5d78	HD_A_9210_s + HD_A_9210	6
0c67f0ff9065623f	f9edb191d913acad	LG_M_6200_s + LG_M_6200	4
0c7672e2ab643f86	e0d5d14d11dade74	AM_A_9490_s + AM_A_9490	4
0cf5e2fc7d0969b1	273c74a0fa2e90f7	BD_M_9610_2_s + BD_M_9610_2	6
0d80f228f1cf1cf5	ca73b73c513be873	BD_M_9460_1_s + BD_M_9460_1	16
0e1f189c5b98cd8d	dc853f175d7c7f5b	BD_A_9240_1_s + BD_A_9240_1	6
0e2cade66276d403	c9d98a9adba91ea9	LG_M_9560_s + LG_M_9560	8
0f2144b5dade59ac	8d02b96fec2e1512	HD_A_3320_s + HD_A_3320	2
106d3e131750c0f8	68dc76d1d2c857e6	LG_F_9340_s + LG_F_9340	10
114d6bc6a68be261	b5c9d16ad2d9da27	HD_M_2540_s + HD_M_2540	3
1159e20443058ac6	68d60ad1d2c334b4	LG_F_9360_s + LG_F_9360	4
11adbf029c690afb	f72058f27c6c5131	BD_A_1000_s + BD_A_1000	8
1254640ca084b4b3	3d78abd1ba2f0b99	LG_F_9420_s + LG_F_9420	4
12c8f95affd447f1	3dfbed368cdbc737	HD_F_9720_HD_M_9720_s + HD_F_9720_HD_M_9720	2
12dfb8d7ef64539b	99614dc71a4fec91	HD_M_9510_s + HD_M_9510	2
13b65b69187d1989	f04937c35e9ce7bf	HD_A_9310_s + HD_A_9310	10
14fca93193eb3969	e92ecaafe44b865f	HD_M_9349_HD_M_9340_s + HD_M_9349_HD_M_9340	14
154cdb5bb1134d1b	d4ee9b0aeabbca11	AM_A_1000_s + AM_A_1000	4
15dbafc08f4098aa	c0c9db9ad66a1470	LG_M_9440_s + LG_M_9440	6
15e50fe83b2894f2	b7d9429ad145e028	LG_M_9390_s + LG_M_9390	8
161544ace101b871	a5cc62ed437043b7	LG_F_9570_LG_M_9570_s + LG_F_9570_LG_M_9570	16
1675ec5224461240	ca05989adbce715e	LG_M_9590_s + LG_M_9590	4
1797c0ff6bea0d41	57c29b8c697c8bc7	AM_M_9520_AM_F_9520_s + AM_M_9520_AM_F_9520	4
17ab13fc83aea7f4	273c75a0fa2e92aa	BD_M_9610_1_s + BD_M_9610_1	6
18362328f8745b38	ca73b83c513bea26	BD_M_9460_2_s + BD_M_9460_2	6
18d4299c623dd570	dc8540175d7c810e	BD_A_9240_2_s + BD_A_9240_2	2
19178d72615dceb3	be4ff822130c9599	BD_M_9450_2_s + BD_M_9450_2	4
1a4857131d3c32b3	68dc77d1d2c85999	LG_F_9341_s + LG_F_9341	10
1a97ea1cc4eb81a9	961b6043913f919f	HD_M_9480_HD_F_9480_s + HD_M_9480_HD_F_9480	4
1ae28c2d8a603787	42120135f99a59c5	BD_M_9371_2_s + BD_M_9371_2	4
1b1c082c9fd191fe	772ef36660eb407c	HD_F_9530_s + HD_F_9530	2
1b8e3a14a8c3ed3d	48188ef2121f178b	HD_F_9340_HD_M_9340_s + HD_F_9340_HD_M_9340	22
1bfedd5b6819ebbe	cf248799ae81063c	HD_A_4150_s + HD_A_4150	4
1d0d8a27245f6e46	0a5f8f2c0cd9ec34	AM_M_9450_s + AM_M_9450	4
1d4b128a7d2b1341	af1b239acc4c21c7	LG_M_9210_s + LG_M_9210	6
1d799da08b7361e5	2de3889f704521e3	AM_F_9400_AM_M_9400_s + AM_F_9400_AM_M_9400	8
1da5c94393bd5527	8e6a1ad299fe3ca5	BD_F_9370_2_s + BD_F_9370_2	8
1edebea35346fe2d	2385515e48963d3b	LG_F_8200_LG_M_8200_s + LG_F_8200_LG_M_8200	6
1f719c10fce44af5	4daea8c9fe2b6673	HD_F_2550_HD_M_2550_s + HD_F_2550_HD_M_2550	2
1fd9b3cd15f3610f	85d564c9a4078efd	BD_A_2870_1_s + BD_A_2870_1	6
2167b7434ee88405	d8a419c9a6447ac3	BD_F_9380_1_s + BD_F_9380_1	6
21a5c874f5c36b19	d627f3f4a8cc5b8f	HD_F_9270_HD_M_9270_s + HD_F_9270_HD_M_9270	2
22171311be83ed56	dd18bb6504cfd684	BD_F_9460_1_s + BD_F_9460_1	12
22228594d914d906	8031551d990f5bf4	BD_M_9340_1_s + BD_M_9340_1	10
2264ee2c54aca3a7	c0f5e99ad68f6725	LG_M_9490_s + LG_M_9490	8
228df521bae2550a	f78ad6c362537a90	HD_A_9290_s + HD_A_9290	2
22e69c169b88d731	28a0e5c74a89c277	LG_F_9200_LG_M_9200_s + LG_F_9200_LG_M_9200	2
234831f5d479712d	c9e0169adbae783b	LG_M_9540_s + LG_M_9540	6
239baa23155b469b	6fcbd8665d18a791	HD_F_9450_s + HD_F_9450	2
23c5fe569e517ee9	061b7a5a0cc9cfdf	BD_F_9710_2_s + BD_F_9710_2	4
23f7d18ba4b7c318	09b72cc36cdc0bc6	HD_A_9490_s + HD_A_9490	4
254fbaf3a67ccd46	1ea054d5a1af3334	BD_M_9530_2_s + BD_M_9530_2	8
264559a796e7a569	698683d4473e125f	BD_M_9289_BD_M_9280_1_s + BD_M_9289_BD_M_9280_1	6
26a3b3a95466e91c	98421071227b9a02	LG_M_2560_s + LG_M_2560	6
26ed8f3b6adff809	5643edb7f587223f	BD_F_5370_BD_M_5370_1_s + BD_F_5370_BD_M_5370_1	4
275d0a34a37249bb	da596c9ae4c574f1	LG_M_9740_s + LG_M_9740	4
27f36b2ec87a2ac9	07cffd6b2cb194ff	BD_M_9521_BD_F_9521_1_s + BD_M_9521_BD_F_9521_1	14
28701895dae47703	99463dc71a3909a9	HD_M_9590_s + HD_M_9590	2
287e26fd91fb5db1	9187d17732e364f7	AM_F_9230_s + AM_F_9230	2
287f285c210a95a9	469958d1bf7c859f	LG_F_9710_s + LG_F_9710	14
28aa17677cf94640	ae4bd74cf5a2855e	AM_A_9250_s + AM_A_9250	6
298fe84353628a08	d8a41ac9a6447c76	BD_F_9380_2_s + BD_F_9380_2	4
2a9fac1b3e38aacd	10565b76fc8d9c9b	BD_F_2520_BD_M_2520_1_s + BD_F_2520_BD_M_2520_1	8
2abfc28b63cc2c4d	e030541caa12c21b	BD_F_9510_BD_M_9510_1_s + BD_F_9510_BD_M_9510_1	10
2b1fff78c65fda6d	517372f5f80f427b	BD_M_5370_1_s + BD_M_5370_1	4
2bb1338d7d6b3707	f7b6e4c36278cd45	HD_A_9240_s + HD_A_9240	4
2bdba6d5e8f80709	9a786a773807993f	AM_F_9380_s + AM_F_9380	6
2c066c100fc66c08	c9ea889adbb78e76	LG_M_9510_s + LG_M_9510	6
2d2ba462c9a286b1	708aeaadbe0765f7	HD_F_9600_HD_A_9600_s + HD_F_9600_HD_A_9600	4
2d5ee0ab82d084ea	9695bc8ba713a8b0	BD_A_9700_1_s + BD_A_9700_1	6
2e3bc03b6ea05a4c	5643eeb7f58723f2	BD_F_5370_BD_M_5370_2_s + BD_F_5370_BD_M_5370_2	8
2e3f9b9f3a90518d	37f4c8c358cc635b	LG_F_9730_LG_M_9730_s + LG_F_9730_LG_M_9730	12
2e7a2f56a4f50a2c	061b7b5a0cc9d192	BD_F_9710_1_s + BD_F_9710_1	6
2fa39eee8e58abf1	75a15d8af4cd8b37	AM_M_9309_AM_M_9300_s + AM_M_9309_AM_M_9300	2
303ee55804b18a26	648220b53f2826d4	BD_F_9529_BD_F_9521_1_s + BD_F_9529_BD_F_9521_1	10
3082ab95b7d2ce96	afaa56fc4a31d3c4	BD_F_9320_2_s + BD_F_9320_2	6
30af4d2266e55155	7a69b8dd6ebd0693	LG_F_9510_LG_M_9510_s + LG_F_9510_LG_M_9510	10
30f98aa79d8b30ac	698684d4473e1412	BD_M_9289_BD_M_9280_2_s + BD_M_9289_BD_M_9280_2	6
