label	receiver_class	dsr_size	dsr_sha256	ptde_hemenv_size	ptde_hemenv_sha256	ptde_hemenvlerp_size	ptde_hemenvlerp_sha256	source_zip_sha256
FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvPntSS.fpo	fixed_spc_pntss	24564	021cbb62d1cca4bad3789c50c3aa551b893904910dbf6596aedb369814d9001f	6512	1da7f99af8f25422d32a2f310804cfb53f03d08cb1897a75a630f686e4836610	6872	76933abd5b419b39715dd3f7b0c92a7b9e04a3f6b8aad9377a9d17113aae87e8	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvPntSSSS.fpo	fixed_spc_pntssss	28180	6869c41a14152fc12a1f798148b9e10343387e874cb0454078cc36595260b945	7152	721aed1162304d2538093a394904e4ecf341c04293f15a132942c3a0de29b535	7512	ba9e68c1452e82397eafeb0198365591e420043278df8c4f5f98cec1dce446f8	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvPntSS.fpo	fixed_spc_pntss	23500	69e967fc100953b7553e2e1545fb6c3b68f64c37398c4e5a3e993f1d545575f5	5696	fe2b84d713cff481c8e68b4d2b0167d93c43a33860115158d90afcd3dd1516e9	6056	c012b596ddb5fab4b99caa2a052050d816f75e780424060f29a69edde9754d5f	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvPntSSSS.fpo	fixed_spc_pntssss	27116	8801c10b21efe67ccc98cddf4120479e1def049c522f23668c4f25fa7f3b23bf	6336	592ac6aac47d660f7e0bf57b7bc3719d38c2247ecbfb341e6e80db3c3a586062	6696	0cd3ab46370d02c20e23913d9f963794a3406fc6a396c3f8c19faf7d5d757e4f	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMulLit____HemEnvPntSS.fpo	fixed_spc_pntss	20432	b500588aafb2d9d6a716a9fbf350a51ca3c7d9382cb494ea4e8aa24b6028ed23	4200	1ba13e22f610bc16ee36efb352d8646444c7078c1ba6ed6d4758b2ad7f96f24d	4560	4666fae23237f8e2dd213f8312cbb9877bac1b57517f7df0909f0a30059211d7	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMulLit____HemEnvPntSSSS.fpo	fixed_spc_pntssss	23992	34e0e705f3867f9c76287562dd17b3ef8bd06dfb92487de95eb6f25c477b6c05	4840	a6faa99a2e425249d1d1266fb1d92e85669da631837fa43b96c681279184e7d6	5200	4e9419aa6fe29f575a0da72d2a86b51cbb2dc6a7ea51a748d23916a811c77b68	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMul___Csd_HemEnvPntSS.fpo	fixed_spc_pntss	24108	6e1bd03d7b5401c1a327b91f465d8f60e67bcc06a481555f6495e82cfea8a0ad	6412	6863065a5bf7b5441632ea6ddf768cc27c3334a1ab2b45e68307b00749e5fcba	6772	6a0de83eb6456c6ffe67eeabfc0f099c62af8a58ee87f55a41d40eb37d19855a	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMul___Csd_HemEnvPntSSSS.fpo	fixed_spc_pntssss	27724	b030eb1dc8e2ced0245e6faf3bdc2db56bd67948de34725b1ac2cf3923751287	7052	fb21045c4bfd1015b58ad47b98e472f0a10abe9a4b8ace90d04c5008a4698475	7412	ec48120475be952aa330d5de85874aa2137f5088633da6754a4884f00c1c3d71	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvPntSS.fpo	fixed_spc_pntss	23044	d60aff91d9eb71199e3f5fb752536363c1735748569ac64a45a4b9b7c51cea6f	5596	a4a114cbdb2e5b5ace2d921d25235e42a3fe347184bc15674df4f8f3a0d9aea5	5956	a409576a23a6130402ba778ed992a4ddf02553b9a4c376275ef86c863b4a4406	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvPntSSSS.fpo	fixed_spc_pntssss	26660	80bedd4c8d4b476759065f7c493d7c74f27bf298615a258c4b4f7185dbe988c4	6236	1a87305141f2c3d8028262153e7da337ca249bad433db287f8c681353a398c4f	6596	86379368a29a32a4dfb6090ca6b6bccbddc6511e4299853256046e994ca25f29	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMul_______HemEnvPntSS.fpo	fixed_spc_pntss	19984	ea32ec66006f9f534fd7a802438e4357267acfa17ddbdba0358d36f6b19247f9	4084	10f7b4d2759590de7f9327ae37eecf2516c8a12c7854c7c35afd7434147f43b5	4456	3fa20f975fedc0ad99814e6da036f35788c8b2cad95504be5b7178d320697bba	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmpMul_______HemEnvPntSSSS.fpo	fixed_spc_pntssss	23544	b827fa1c558795fc703f0498414c96f333d1405e3940ad48766ec8f5a9690058	4724	3d76753aee10dbd5cfcc8a160c3fde34b6056446b3388236cfbb114d45b64489	5096	2217aac3fc1bdf8bfa454fbab67e9712e456dc0f370a12635e0cf936fdff71de	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp___LitCsd_HemEnvPntSS.fpo	fixed_spc_pntss	23836	1d918a70c27e37d2525f4788c32f2cc42d21545e6644078b45015ad1e5a64ecd	5924	fb3151a5c32cb5ccd2c40f9f63e87910fb84d78555b71825102635678e76f9f6	6284	6059dad6511f70e1245d86038e089c76e131aaa7ecb8c004e4ce6c9b723d2d52	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp___LitCsd_HemEnvPntSSSS.fpo	fixed_spc_pntssss	27396	3cbc73731a1e848ccd97d6e490aa43ee7b8afc535cc104fe47d3e8751f93b631	6564	3fbbcc67ff7734c5da62569acb554742655bd2b4258fcabd1fec3b87f20969a3	6924	fcf47a385e9d1ca70d190864190202526966dfdc1a0ab7879aef585426382780	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
