# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# semantics=redirect exact cb0[92..99] operands to draw-local b13[0..7]; b13 declaration inserted at SHEX word 11
shader_index	code_sha256	stratum	patch_count	patch_word_sites
719	f2d660c023183de6a81564447ebe9e9c33451684bdd3aa4b76b0395fae2a4ee0	spc	15	1739:93,1757:96,1763:92,1779:95,1789:94,1805:97,1824:98,1828:99,1838:99,1926:92,1940:93,1948:94,1996:96,2002:95,2012:97
738	7073f6ab11d8a7b1d9c56ebad9fe49091bd00616e4ed77a05549a6ab1715a7fb	spc	15	740:93,758:96,764:92,780:95,790:94,806:97,1549:98,1553:99,1563:99,1651:92,1665:93,1673:94,1721:96,1727:95,1737:97
757	4f2df00d030dc54def7a8de8ceb71b0f94bc73c52c789220a78dbe6a24361953	spc	15	730:93,748:96,754:92,770:95,780:94,796:97,815:98,819:99,829:99,940:92,954:93,962:94,1010:96,1016:95,1026:97
776	381b5752519eed98678dd0a62d5ea9028f6a0c2677bcd1225e856d6435026ed1	spc	15	1711:93,1729:96,1735:92,1751:95,1761:94,1777:97,1796:98,1800:99,1810:99,1898:92,1912:93,1920:94,1968:96,1974:95,1984:97
795	97a370155d86479d03aedaacf57549ad1282b02df472b2c4be1730bbb506a467	spc	15	730:93,748:96,754:92,770:95,780:94,796:97,1521:98,1525:99,1535:99,1623:92,1637:93,1645:94,1693:96,1699:95,1709:97
814	5358032da404c5deb0fe124193ed5e3835d7847e3e076a2e232dfedae68e3202	spc	15	720:93,738:96,744:92,760:95,770:94,786:97,805:98,809:99,819:99,917:92,931:93,939:94,987:96,993:95,1003:97
833	e15f6b4b9cba1063464ff84269ea8a1eab360b5c44550c6037bb1a116a4321e2	spc	15	1496:93,1514:96,1520:92,1536:95,1546:94,1562:97,1581:98,1585:99,1595:99,1683:92,1697:93,1705:94,1753:96,1759:95,1769:97
852	6f47226799958f2c45d7aaef70a93200317ba00799cb3d7269086d4fb194a32f	spc	15	1221:93,1239:96,1245:92,1261:95,1271:94,1287:97,1306:98,1310:99,1320:99,1408:92,1422:93,1430:94,1478:96,1484:95,1494:97
871	b70ced9bb07fff36c1cdd1cb0d74909ee8b94200b81bfec4a57f5a78fce3ff0c	spc	15	487:93,505:96,511:92,527:95,537:94,553:97,572:98,576:99,586:99,697:92,711:93,719:94,767:96,773:95,783:97
890	2f09c80097c7903b0412fd33aaf946e6132a94d782324f937666c3b4a6e0eeac	spc	15	1471:93,1489:96,1495:92,1511:95,1521:94,1537:97,1556:98,1560:99,1570:99,1658:92,1672:93,1680:94,1728:96,1734:95,1744:97
