# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# generator_semantics=exact cb0[92..99] to b13[0..7] + dcl_constantbuffer b13[8] + RDEF DSRRL_LightBankCarrier b13 binding + DSRRL DXBC checksum
shader_index	source_sha256	replacement_size	replacement_sha256
719	f2d660c023183de6a81564447ebe9e9c33451684bdd3aa4b76b0395fae2a4ee0	17848	f2d0f8ff0ec3e3dbf774a4b60fd08c10b830b7fb4d45d169f02932f8a6839d2c
738	7073f6ab11d8a7b1d9c56ebad9fe49091bd00616e4ed77a05549a6ab1715a7fb	16772	3f92b9f8c22ad655c6df1f2be69fdcfffc99f8a78fe77079b0c44b0621775fa0
757	4f2df00d030dc54def7a8de8ceb71b0f94bc73c52c789220a78dbe6a24361953	13756	7a55d2b7ab9a8ef084976ca1c44fc3a694212a47980443e40e19d79a42b43e59
776	381b5752519eed98678dd0a62d5ea9028f6a0c2677bcd1225e856d6435026ed1	17564	d1beaf19e192dd2be5caae6524dbb3d85c999231116ef1aac14f01dadd4de503
795	97a370155d86479d03aedaacf57549ad1282b02df472b2c4be1730bbb506a467	16488	538dd9396a5cb4607e70f5ba0997ce5dd1716b893dd384fb1955d9f7ee9660ee
814	5358032da404c5deb0fe124193ed5e3835d7847e3e076a2e232dfedae68e3202	13464	79df930fd8c6d4b3d5d2b1ee8124aaebef13a7ee554be4306a861eb70c12bd36
833	e15f6b4b9cba1063464ff84269ea8a1eab360b5c44550c6037bb1a116a4321e2	16264	4e02409776e60f1b989457902ffd3a9b2adc3a465ca182b9c6ce58cdf431953b
852	6f47226799958f2c45d7aaef70a93200317ba00799cb3d7269086d4fb194a32f	15188	2a970a77fc3c3e743e0818d1e811b912a5f5b22c4677c6797ad05b0c0404cf32
871	b70ced9bb07fff36c1cdd1cb0d74909ee8b94200b81bfec4a57f5a78fce3ff0c	12168	34e4d805919b24e0a782755b11135f431d1c38f752c040b35b144457d34edc96
890	2f09c80097c7903b0412fd33aaf946e6132a94d782324f937666c3b4a6e0eeac	16012	f13729a278f5451d66957096f21aa6497485f6ead87a099e8d76c35bb6eebd6c
909	31c46a9cac2180f7e0da1565ff045ed5cf58df7012d35f24bb2e72190ce5a95b	14936	9fb4e3ed966cc934bd771ef1d4738fe308e84dd2e80d04b7a66c92497be1e0cc
928	93460ac7a4f58c6899033b85e39bed58e292c480ea2ea6ea8683761a252bb3ca	11912	ab772d7f1b3cf2d5ba82bfec1bc3b95d39cedb0493b959e4f5ea020c69227fe0
947	196f4199321d9b52dd93f72f7f1653caf71d40c72de53765b22d7f1a3cb2d234	15788	28c4c57a5c7b5d550ed8648624e12b38d81bcfe8805f6b0ed1b6b206cdbf718e
966	3f98f97428ff659215adeb8dcad991082e7a2d6c67bc689f35f2e404b08da232	14712	7696e98571dd1d5ae70953dafaeab52eae32e51ebb2d4b5203666c2391b965ae
985	46cc4b2b67d780b7409484f079b12fc7375dcc605c3a5392ef5359f1d8ca1c5d	11696	11d7668c1ba96a3188886d7c8953bd53f1fe4d99f4957052c3f0296cdf5f787a
1004	5bcbea7d1b0a903b8e6b16434988e397e72e3976551072fa9d4006f283a37f2e	15504	20a37c168ac25f16fab8891bcd353385ce6f70f3d3a14ca7750e8d0f92a294ed
