# source=DSR/shader/FRPG_FlverPBL_fpo_DX11.shaderbnd.dcx
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# extraction=bnd3:file_headers@0x20:stride24; exact SHA256 over embedded DXBC bytes
shader_index	shader_name	stratum	code_size	code_sha256	paired_hemenv_index	paired_hemenv_name	paired_hemenv_size	paired_hemenv_sha256	paired_stable_receiver_id
719	FRPG_Phn_DifSpcBmpMulLitCsd_HemDir3.fpo	spc	17064	f2d660c023183de6a81564447ebe9e9c33451684bdd3aa4b76b0395fae2a4ee0	723	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnv.fpo	21744	4e1621be5caa251782e7dab08b2aeddc033dcab6352edd4ed022cdeda8328083	24
738	FRPG_Phn_DifSpcBmpMulLitSdw_HemDir3.fpo	spc	15988	7073f6ab11d8a7b1d9c56ebad9fe49091bd00616e4ed77a05549a6ab1715a7fb	742	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnv.fpo	21444	a6d599351b3e14acf65aa26ca81e358fd691b13b684021399fa59bd174397b7d	25
757	FRPG_Phn_DifSpcBmpMulLit____HemDir3.fpo	spc	13036	4f2df00d030dc54def7a8de8ceb71b0f94bc73c52c789220a78dbe6a24361953	761	FRPG_Phn_DifSpcBmpMulLit____HemEnv.fpo	19960	3c733a0f7b3ad4e9b7af042cfb27380a79b595123b6a3fe43b81ccfc9e0f6d0a	26
776	FRPG_Phn_DifSpcBmpMul___Csd_HemDir3.fpo	spc	16844	381b5752519eed98678dd0a62d5ea9028f6a0c2677bcd1225e856d6435026ed1	780	FRPG_Phn_DifSpcBmpMul___Csd_HemEnv.fpo	21240	26a804f746b95199070951b8f17e9e4fa170de9c284727d33b9687a74121a397	27
795	FRPG_Phn_DifSpcBmpMul___Sdw_HemDir3.fpo	spc	15768	97a370155d86479d03aedaacf57549ad1282b02df472b2c4be1730bbb506a467	799	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnv.fpo	20940	792d99628b2a84f88ef94b04361022eb277851c093d2b83fc2ba8c738fc32cf4	28
814	FRPG_Phn_DifSpcBmpMul_______HemDir3.fpo	spc	12808	5358032da404c5deb0fe124193ed5e3835d7847e3e076a2e232dfedae68e3202	818	FRPG_Phn_DifSpcBmpMul_______HemEnv.fpo	19444	6b2b0708dc6fdc6954b9ccd7ba3c26d4522e0ad0808de59a6a226e9682c36865	29
833	FRPG_Phn_DifSpcBmp___LitCsd_HemDir3.fpo	spc	15672	e15f6b4b9cba1063464ff84269ea8a1eab360b5c44550c6037bb1a116a4321e2	837	FRPG_Phn_DifSpcBmp___LitCsd_HemEnv.fpo	20324	45f6a12363da9146626f97bfbb9f87d7ff37375cc70e7e07df4e34aaefe8bd20	30
852	FRPG_Phn_DifSpcBmp___LitSdw_HemDir3.fpo	spc	14596	6f47226799958f2c45d7aaef70a93200317ba00799cb3d7269086d4fb194a32f	856	FRPG_Phn_DifSpcBmp___LitSdw_HemEnv.fpo	20024	9d677cebd791c86c105ee6b9a24edef5699cc7fb3c96f2b6362a4216d296b402	31
871	FRPG_Phn_DifSpcBmp___Lit____HemDir3.fpo	spc	11640	b70ced9bb07fff36c1cdd1cb0d74909ee8b94200b81bfec4a57f5a78fce3ff0c	875	FRPG_Phn_DifSpcBmp___Lit____HemEnv.fpo	18540	b16982cc2f94c0f20e84cb0d81b79bd75ce474327c74c5db9515b0955719dfff	32
890	FRPG_Phn_DifSpcBmp______Csd_HemDir3.fpo	spc	15484	2f09c80097c7903b0412fd33aaf946e6132a94d782324f937666c3b4a6e0eeac	894	FRPG_Phn_DifSpcBmp______Csd_HemEnv.fpo	19856	35880c0b2f2330208dfc21af6dd3d944218fcc4540cd8e59404a0aefc13c0b24	33
