# DSRRL HemDir3 Spc exact b12 material-continuation authority v1
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# semantics=existing cb0[92..99]->b13[0..7] plus cb0[101]->b12[0] and cb0[102]->b12[1]
# c101_operand_token=0x00208246 (identical all 24 Spc); c102_operand_token=0x00208006 (identical all 24 Spc)
# declarations=dcl_constantbuffer b12[2] then b13[8] at stock SHEX word 11
# RDEF=DSRRL_HemDir3MaterialCarrier b12 32B + DSRRL_LightBankCarrier b13 128B
shader_index	code_sha256	c101_slot_word	c102_slot_word	c101_operand_token	c102_operand_token	replacement_size	replacement_sha256
719	f2d660c023183de6a81564447ebe9e9c33451684bdd3aa4b76b0395fae2a4ee0	2070	1983	0x00208246	0x00208006	18696	044c52551b4aebeaf575f51605279d8f6fe8fb67270085d7f089264bd5eda9c0
738	7073f6ab11d8a7b1d9c56ebad9fe49091bd00616e4ed77a05549a6ab1715a7fb	1795	1708	0x00208246	0x00208006	17620	a69ff6a3e4133b96ed84a3e09e3ce149261c86abe8cbcb62fb4d3e7f7a2406d7
757	4f2df00d030dc54def7a8de8ceb71b0f94bc73c52c789220a78dbe6a24361953	1084	997	0x00208246	0x00208006	14540	1b139b8fa60d31207c0919d9f7eb2c466dfa14a794fba0a6e212bc12365dd3b1
776	381b5752519eed98678dd0a62d5ea9028f6a0c2677bcd1225e856d6435026ed1	2042	1955	0x00208246	0x00208006	18348	5eedae8d9c92856f041b92b7c2173092204b7901a83f1c54610b042cc690befc
795	97a370155d86479d03aedaacf57549ad1282b02df472b2c4be1730bbb506a467	1767	1680	0x00208246	0x00208006	17272	096bab755cd701858833ad6b00498585bacad9022948c02678d5fb0bb8c9ef27
814	5358032da404c5deb0fe124193ed5e3835d7847e3e076a2e232dfedae68e3202	1054	974	0x00208246	0x00208006	14184	de38125d71f75a37f2eb07cf3cc8d964a66e1db6f6cc82898f05307694210e51
833	e15f6b4b9cba1063464ff84269ea8a1eab360b5c44550c6037bb1a116a4321e2	1799	1740	0x00208246	0x00208006	16920	0d1b058169c4d11dcb95ef2c50231643ec1206f1caedbde1e62b8ac28dbe457a
852	6f47226799958f2c45d7aaef70a93200317ba00799cb3d7269086d4fb194a32f	1524	1465	0x00208246	0x00208006	15844	07011e75a8bef28d9d15802184bc76477c660ab316cb65d1e6541398e306e4e6
871	b70ced9bb07fff36c1cdd1cb0d74909ee8b94200b81bfec4a57f5a78fce3ff0c	813	754	0x00208246	0x00208006	12760	c6d312e477ad45563bec61f50636d58d309e24707be6b3c87e3c44a49a9986bf
890	2f09c80097c7903b0412fd33aaf946e6132a94d782324f937666c3b4a6e0eeac	1774	1715	0x00208246	0x00208006	16604	620326db03bfce99ff2c9c5c0098733af59605f98c335d0ce9eb4b98358db199
909	31c46a9cac2180f7e0da1565ff045ed5cf58df7012d35f24bb2e72190ce5a95b	1499	1440	0x00208246	0x00208006	15528	6b3108ed938e377277ec094910de892455d6050944e96acff20d7b2a9987af96
928	93460ac7a4f58c6899033b85e39bed58e292c480ea2ea6ea8683761a252bb3ca	786	734	0x00208246	0x00208006	12440	1e9789d0a9c223f9eb30cdfe0c847004a573a20e9f83c29be4d1d81587b01fd3
947	196f4199321d9b52dd93f72f7f1653caf71d40c72de53765b22d7f1a3cb2d234	1641	1554	0x00208246	0x00208006	16508	2677e786571cd5f28495e0bce692a845a1ff84c692ac03c0350cc2dee22a0474
966	3f98f97428ff659215adeb8dcad991082e7a2d6c67bc689f35f2e404b08da232	1366	1279	0x00208246	0x00208006	15432	9a3b8b12c299daae4a764c5363b3051c3449607b4c8e555ff1b2d8c480d59a6c
985	46cc4b2b67d780b7409484f079b12fc7375dcc605c3a5392ef5359f1d8ca1c5d	722	635	0x00208246	0x00208006	12352	437b308a05da570b4eec93d097cc53190d5862f1c20f7aa7789ff13ed4bd0d2f
1004	5bcbea7d1b0a903b8e6b16434988e397e72e3976551072fa9d4006f283a37f2e	1613	1526	0x00208246	0x00208006	16160	78256ee8aff0f4f05ab2d3f5c76d750942e6ab202ff8c88662aa5195b1ac51d9
1023	8a91c9ff6533c639813a1483828b0a2015d601167d0fae54a62d3783dfe198f8	1338	1251	0x00208246	0x00208006	15084	548f9f176f48b494e824da630f0de3e4a13e254f964fb0423996b8968e8579cc
1042	703876c503fb370ebf939f2d20957a45f101a8fc767206db0b0274912a563216	692	612	0x00208246	0x00208006	11992	d265f85323cff368498f22009e868306f02055e4baa895e41b6ec08cbec9a690
1061	9a810593dbeae9d83e5d398bf1cc679ffaa0ee0484c4f8d6327a7c02754dcd34	1551	1492	0x00208246	0x00208006	15688	31170ae03f715e0f47bc5dd55ab847169a0357fb7b0192e91c7ac5fda9101745
1080	67da933de1f32ab6bd487307b27c2b24d0884eee133ef279d799a743f7ff2506	1276	1217	0x00208246	0x00208006	14612	e86b815a021da2fd2d591485355f2cf06294f65c979191270a8795bc2629e8b9
1099	6276fa71187172e54d171b7322abb6d9b007f9a86619128335d16a0e67cd60a2	565	506	0x00208246	0x00208006	11532	ae580f04665968f72b54fb8e7acada07b8445cb547f8ec72c8b39126d08577fb
1118	c8dab85146814c9c3f8c8384e2d8143d73d60c51cabce2cb2fff3f46bdc4feb4	1526	1467	0x00208246	0x00208006	15376	fd6c77676accdcfc4d5768c0dbfab1eb8ee88ca48de092fa39baab5a01e7553d
