# Exact DSR local PointLight specular receiver census.
# Derived from dsrrl.shader_math_* canonical catalog; HemEnv/HemEnvLerp aliases collapse to identical DXBC.
receiver_class	code_sha256	code_size	representative_shader_index	alias_count	representative_shader_name
clustered_spc_pnts	fc93eb2c09aab6cdd3000e4fedc82bacd522094e45aac3e3385525391656b368	21760	728	2	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvLerpPntS.fpo
clustered_spc_pnts	bedea66ab6a4dc93cdd5df401f7c499e6d9e72b7e4ff6bd864b31281457b33fd	21460	747	2	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvLerpPntS.fpo
clustered_spc_pnts	f33736abc100ff89c294eace3079aaabd5f28765ea48a2fc43ecdd5494b9b6ab	19976	766	2	FRPG_Phn_DifSpcBmpMulLit____HemEnvLerpPntS.fpo
clustered_spc_pnts	9fb794fe8f23d46a9c3dc65016d1316e23f37b87b5a75408ed25e6d0d5338a0d	21256	785	2	FRPG_Phn_DifSpcBmpMul___Csd_HemEnvLerpPntS.fpo
clustered_spc_pnts	70277960c95f756fb474ed592084cdd76c9a1c45ec23306bdb159a0a0f2c020f	20956	804	2	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvLerpPntS.fpo
clustered_spc_pnts	d4427a89a83b526001ec9492f63b213c3faebd2266d102f163453e78d883d97e	19460	823	2	FRPG_Phn_DifSpcBmpMul_______HemEnvLerpPntS.fpo
clustered_spc_pnts	bdcdaeee0ef1667006045e97e4ac13a4bf296c94af1aedfb0e9e9ca42fa66ad3	20340	842	2	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvLerpPntS.fpo
clustered_spc_pnts	1af174d97ab77420b1ac268eb1b4329ebbfba68e982629f667f9291446255a83	20040	861	2	FRPG_Phn_DifSpcBmp___LitSdw_HemEnvLerpPntS.fpo
clustered_spc_pnts	8641dd88aa3da0cf8a71f1b5340dc9ba61fde75a4c32265e1fd7d2bcea78a7e0	18556	880	2	FRPG_Phn_DifSpcBmp___Lit____HemEnvLerpPntS.fpo
clustered_spc_pnts	d5000bccc129fcd8486ffe990aa5220015b923b8a4417fd24f936db267bfee32	19872	899	2	FRPG_Phn_DifSpcBmp______Csd_HemEnvLerpPntS.fpo
clustered_spc_pnts	1d1866c8cc986dfc7e275178705a7eb5ec1f7562fd7e478c3713e1fb17112a56	19572	918	2	FRPG_Phn_DifSpcBmp______Sdw_HemEnvLerpPntS.fpo
clustered_spc_pnts	34e90a3ba0aaa2e3517ef3b641771e23fbcc6625e702424844938e18fa20aad4	18076	937	2	FRPG_Phn_DifSpcBmp__________HemEnvLerpPntS.fpo
clustered_spc_pnts	cd7fb530b9653f524432284500bd7c2f3eb67a5999fda809e48ab88b6d2ea964	19720	956	2	FRPG_Phn_DifSpc___MulLitCsd_HemEnvLerpPntS.fpo
clustered_spc_pnts	c35613f8b8df937e329ad06b133438dafdf1c2af5909f2eecdab5ea2351c8a3b	19420	975	2	FRPG_Phn_DifSpc___MulLitSdw_HemEnvLerpPntS.fpo
clustered_spc_pnts	6c2f8ab885d04de2069b8c3ffc5cb2f310cb008a852ea7fa3ef0f55686f04a2f	17932	994	2	FRPG_Phn_DifSpc___MulLit____HemEnvLerpPntS.fpo
clustered_spc_pnts	72083a83cbdff7f9a8882273ac2c9329d5bf70bd7c2f94730051c659bf55f677	19212	1013	2	FRPG_Phn_DifSpc___Mul___Csd_HemEnvLerpPntS.fpo
clustered_spc_pnts	fb96cf11f847c93ac35558bfbe4e3868a120acf4d344c18f3d53353e097d9665	18912	1032	2	FRPG_Phn_DifSpc___Mul___Sdw_HemEnvLerpPntS.fpo
clustered_spc_pnts	a747e74006d1f705a8f21fa3e50b6500e78d5425d3f8216c4efad275247a5939	17416	1051	2	FRPG_Phn_DifSpc___Mul_______HemEnvLerpPntS.fpo
clustered_spc_pnts	3ea85cd759286c2f85636c69292881a5b9dcae0283bcaa00df7067cb7b3cafd7	19180	1070	2	FRPG_Phn_DifSpc______LitCsd_HemEnvLerpPntS.fpo
clustered_spc_pnts	04b8d32a51810280dedb7eb856dfb4803c5b5495d7dd3910668983e3727a571a	18880	1089	2	FRPG_Phn_DifSpc______LitSdw_HemEnvLerpPntS.fpo
clustered_spc_pnts	58f8428940fecf621f559ba4d6d92b9e7cd140d5bc4cc0ca10d88c69fa36be40	17396	1108	2	FRPG_Phn_DifSpc______Lit____HemEnvLerpPntS.fpo
clustered_spc_pnts	bc30c7231a3814c5ed8e1f842661f348792d13f8bb1e36dbd1efca0fe632c2a1	18712	1127	2	FRPG_Phn_DifSpc_________Csd_HemEnvLerpPntS.fpo
clustered_spc_pnts	d9875805c378319baac1b4849ab8fb0f0641a2980a8591d2ef989868351d4024	18412	1146	2	FRPG_Phn_DifSpc_________Sdw_HemEnvLerpPntS.fpo
clustered_spc_pnts	e7f2e81fac09c46ad55dd8f920de9f163a1f9346af4cff7f0f636ce7e0539487	16916	1165	2	FRPG_Phn_DifSpc_____________HemEnvLerpPntS.fpo
fixed_spc_pntss	021cbb62d1cca4bad3789c50c3aa551b893904910dbf6596aedb369814d9001f	24564	729	2	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvLerpPntSS.fpo
fixed_spc_pntss	69e967fc100953b7553e2e1545fb6c3b68f64c37398c4e5a3e993f1d545575f5	23500	748	2	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvLerpPntSS.fpo
fixed_spc_pntss	b500588aafb2d9d6a716a9fbf350a51ca3c7d9382cb494ea4e8aa24b6028ed23	20432	767	2	FRPG_Phn_DifSpcBmpMulLit____HemEnvLerpPntSS.fpo
fixed_spc_pntss	6e1bd03d7b5401c1a327b91f465d8f60e67bcc06a481555f6495e82cfea8a0ad	24108	786	2	FRPG_Phn_DifSpcBmpMul___Csd_HemEnvLerpPntSS.fpo
fixed_spc_pntss	d60aff91d9eb71199e3f5fb752536363c1735748569ac64a45a4b9b7c51cea6f	23044	805	2	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvLerpPntSS.fpo
fixed_spc_pntss	ea32ec66006f9f534fd7a802438e4357267acfa17ddbdba0358d36f6b19247f9	19984	824	2	FRPG_Phn_DifSpcBmpMul_______HemEnvLerpPntSS.fpo
fixed_spc_pntss	1d918a70c27e37d2525f4788c32f2cc42d21545e6644078b45015ad1e5a64ecd	23836	843	2	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvLerpPntSS.fpo
