# DSRRL Normal exact-resource tuple corpus v1
# recovered source: recovered-source/1.45/v12/asset_integrated_v12.c
# recovered source SHA256: 879b3ec251c36969cf7eabcc5b63164da7c17b6577e74b013e47f7866b3236e2
# recovered k_normal_triples block SHA256: c1e3e4f93f67c73ce638b4952f5ee028747a3364a7c0254d950e931ee1942764
# canonical tuple count: 557
# represented safe FLVER rows: 3872
# unique logical-name hashes across t0/t1/t2: 1664
diffuse_hash	spec_hash	normal_hash	logical_names	row_uses
003edc3c61d5b42b	c3161f1793254f9d	c3162217932554b6	lg_f_5370_lg_m_5370 | lg_f_5370_lg_m_5370_s | lg_f_5370_lg_m_5370_n	10
00b515c367a88e31	aedd13872d25cffb	aedcfe872d25ac4c	hd_a_9550 | hd_a_9550_s | hd_a_9550_n	2
00b89bc367aba7ba	63ca919020287584	63ca969020287e03	hd_a_9560 | hd_a_9560_s | hd_a_9560_n	4
00bc01c367ae8ae3	02add798757032e5	02adea987570532e	hd_a_9570 | hd_a_9570_s | hd_a_9570_n	2
00bf87c367b1a46c	b79b55a16872d86e	b79b42a16872b825	hd_a_9500 | hd_a_9500_s | hd_a_9500_n	2
019dea2c07dd144a	6f8726c0736122d4	6f870bc07360f4f3	am_m_9540 | am_m_9540_s | am_m_9540_n	2
01a85c2c07e62a85	7baa68dab18fa147	7baa4bdab18f7000	am_m_9530 | am_m_9530_s | am_m_9530_n	6
01aee82c07eb8417	90c6ccea2393bb11	90c6d7ea2393cdc2	am_m_9510 | am_m_9510_s | am_m_9510_n	6
01b3953ef3405cb0	696c2a47c19558ea	696c2f47c1956169	bd_m_9300_1 | bd_m_9300_1_s | bd_m_9300_1_n	6
01b3983ef34061c9	81e48d47cf031963	81e48847cf0310e4	bd_m_9300_2 | bd_m_9300_2_s | bd_m_9300_2_n	10
01fa980ab8aae51b	7d2ed7cce732c74d	7d2ebacce7329606	lg_f_9550_lg_m_9550 | lg_f_9550_lg_m_9550_s | lg_f_9550_lg_m_9550_n	10
023e86468b8e3f83	46a6a127fc2001c5	46a6b427fc20220e	bd_m_9710_bd_f_9710_1 | bd_m_9710_bd_f_9710_1_s | bd_m_9710_bd_f_9710_1_n	8
023e87468b8e4136	4eced228009a07c8	4ecebf280099e77f	bd_m_9710_bd_f_9710_2 | bd_m_9710_bd_f_9710_2_s | bd_m_9710_bd_f_9710_2_n	4
0284be4d34f2f9d3	54acd536e1489895	54acc836e148827e	lg_f_9560_lg_m_9560 | lg_f_9560_lg_m_9560_s | lg_f_9560_lg_m_9560_n	10
03662a75ea919557	3868b404d2878351	3868bf04d2879602	lg_f_9260_lg_m_9260 | lg_f_9260_lg_m_9260_s | lg_f_9260_lg_m_9260_n	8
04efcec4cd60a667	812cbd62e44e9da1	812ca862e44e79f2	lg_f_2570_lg_m_2570 | lg_f_2570_lg_m_2570_s | lg_f_2570_lg_m_2570_n	9
