# DSRRL SpecRGB exact logical-name corpus v1
# recovered source: recovered-source/1.45/v12/asset_integrated_v12.c
# recovered source SHA256: 879b3ec251c36969cf7eabcc5b63164da7c17b6577e74b013e47f7866b3236e2
# recovered symbol: k_spec_names
# exact logical-name count: 769
spec_hash	logical_name
00178fc6032dce64	bd_a_9470_1_s
001c55e4c9de9cba	lg_m_1000_s
012ee3088b73c9d7	am_f_9320_s
0251a82fe613a8d0	hd_f_9370_s
025aebf96526d296	hd_f_9480_s
0269092d7cf08dae	bd_m_9371_1_s
0272b4cdf9382a04	lg_m_9341_s
02add798757032e5	hd_a_9570_s
032ab6c64e2a843c	am_m_9372_l_s
0342b74ca7a33af1	lg_m_5320_s
037a464384ddc9ce	bd_f_9370_1_s
03f4d9f20add192b	bd_f_9360_1_s
048c5da97ac49a4a	wp_a_0805_s
05361495afc93576	wp_a_0210_s
05d48469f7f32106	am_f_9420_s
068730cd07cbc676	bd_a_2870_2_s
06a53dafe754516e	wp_a_0221_s
0759ecdb5c00e30f	bd_m_9270_2_s
07738ae011a8e879	wp_a_1520_s
07a3be6fd1bd475b	wp_a_1801_s
07dde9cc37875d84	hr_m_0002_mspot_s
084daa418db0bbf6	am_m_9300_s
097bce9c0b5b6a00	bd_f_9230_2_s
097ca7119f625055	bd_f_2540_bd_m_2540_s
099fe12fe9d418ab	hd_f_9371_s
09a4eb186711c351	lg_f_9740_lg_m_9740_s
09c0cdcdfcf8637f	lg_m_9340_s
0a8b90c8200b979e	wp_a_1518_s
0ab96515dd2c3db5	hr_m_0011_short_s
0ad0793dcfa9e49b	am_a_9220_s
0afc436c92bb7553	hr_f_0007_tail_s
0b4a7563cdf066c2	hd_a_9210_s
0c67f0ff9065623f	lg_m_6200_s
0c7672e2ab643f86	am_a_9490_s
0cf5e2fc7d0969b1	bd_m_9610_2_s
0d80f228f1cf1cf5	bd_m_9460_1_s
0dca8116374a6d6f	hr_m_0007_s
0e1f189c5b98cd8d	bd_a_9240_1_s
0e2cade66276d403	lg_m_9560_s
0ec2bbe0156afdbc	wp_a_1523_s
0f114d95b5b4dd91	wp_a_0211_s
0f2144b5dade59ac	hd_a_3320_s
0f4176a98169afc5	wp_a_0804_s
0fdb94a9744a5a6c	wp_a_0740_s
106d3e131750c0f8	lg_f_9340_s
108056afed3fc329	wp_a_0220_s
114d6bc6a68be261	hd_m_2540_s
1159e20443058ac6	lg_f_9360_s
11adbf029c690afb	bd_a_1000_s
1254640ca084b4b3	lg_f_9420_s
12c8f95affd447f1	hd_f_9720_hd_m_9720_s
12dfb8d7ef64539b	hd_m_9510_s
13b65b69187d1989	hd_a_9310_s
14fca93193eb3969	hd_m_9349_hd_m_9340_s
153fa9c826aefa19	wp_a_1519_s
154cdb5bb1134d1b	am_a_1000_s
15b42e42016e457a	wp_a_0702_longspear_s
15dbafc08f4098aa	lg_m_9440_s
15e50fe83b2894f2	lg_m_9390_s
161544ace101b871	lg_f_9570_lg_m_9570_s
16607e95b976f2d4	wp_a_0212_s
16707db5dea07c87	hd_a_3321_s
1675ec5224461240	lg_m_9590_s
171b03ad5f9455ba	wp_a_1543_s
1797c0ff6bea0d41	am_m_9520_am_f_9520_s
17ab13fc83aea7f4	bd_m_9610_1_s
18362328f8745b38	bd_m_9460_2_s
189df4e01b56a5d7	wp_a_1522_s
18d4299c623dd570	bd_a_9240_2_s
19178d72615dceb3	bd_m_9450_2_s
1a4857131d3c32b3	lg_f_9341_s
1a97ea1cc4eb81a9	hd_m_9480_hd_f_9480_s
1ae28c2d8a603787	bd_m_9371_2_s
1b1c082c9fd191fe	hd_f_9530_s
1b8e3a14a8c3ed3d	hd_f_9340_hd_m_9340_s
1bfedd5b6819ebbe	hd_a_4150_s
1d0d8a27245f6e46	am_m_9450_s
1d4b128a7d2b1341	lg_m_9210_s
1d799da08b7361e5	am_f_9400_am_m_9400_s
1da5c94393bd5527	bd_f_9370_2_s
1e889795bdf0d00f	wp_a_0213_s
1edebea35346fe2d	lg_f_8200_lg_m_8200_s
1f431cad640e32f5	wp_a_1542_s
1f719c10fce44af5	hd_f_2550_hd_m_2550_s
1fd9b3cd15f3610f	bd_a_2870_1_s
20948ec4770bbbd3	wp_a_1210_s
2167b7434ee88405	bd_f_9380_1_s
21a5c874f5c36b19	hd_f_9270_hd_m_9270_s
22171311be83ed56	bd_f_9460_1_s
22228594d914d906	bd_m_9340_1_s
2264ee2c54aca3a7	lg_m_9490_s
228df521bae2550a	hd_a_9290_s
22e69c169b88d731	lg_f_9200_lg_m_9200_s
234831f5d479712d	lg_m_9540_s
239baa23155b469b	hd_f_9450_s
23c5fe569e517ee9	bd_f_9710_2_s
23f7d18ba4b7c318	hd_a_9490_s
254fbaf3a67ccd46	bd_m_9530_2_s
25d0f8b8e70664f6	wp_a_0720_s
264559a796e7a569	bd_m_9289_bd_m_9280_1_s
265d70d9bb0befd9	bd_m_9430_2_s
26a3b3a95466e91c	lg_m_2560_s
26ed8f3b6adff809	bd_f_5370_bd_m_5370_1_s
275d0a34a37249bb	lg_m_9740_s
27f36b2ec87a2ac9	bd_m_9521_bd_f_9521_1_s
28701895dae47703	hd_m_9590_s
287e26fd91fb5db1	am_f_9230_s
287f285c210a95a9	lg_f_9710_s
28aa17677cf94640	am_a_9250_s
298fe84353628a08	bd_f_9380_2_s
29f84dad6ab37138	wp_a_1541_s
2a2b48aa40cc6905	hd_f_9740_hd_m_9740_s
2a2ceaad49c45afa	wp_a_0452_s
2a7a5a94535a8743	wp_a_0510_s
2a9fac1b3e38aacd	bd_f_2520_bd_m_2520_1_s
2abfc28b63cc2c4d	bd_f_9510_bd_m_9510_1_s
2b1fff78c65fda6d	bd_m_5370_1_s
2bb1338d7d6b3707	hd_a_9240_s
2bdba6d5e8f80709	am_f_9380_s
2c066c100fc66c08	lg_m_9510_s
2c0ffe3d0b4a17fc	wp_a_0111_s
2cb0993ae1b59243	hr_f_0010_tail_s
2d2ba462c9a286b1	hd_f_9600_hd_a_9600_s
2d5ee0ab82d084ea	bd_a_9700_1_s
2e3bc03b6ea05a4c	bd_f_5370_bd_m_5370_2_s
2e3f9b9f3a90518d	lg_f_9730_lg_m_9730_s
2e7a2f56a4f50a2c	bd_f_9710_1_s
2f6c2cc835903872	wp_a_1514_s
2fa39eee8e58abf1	am_m_9309_am_m_9300_s
2fac31b8ecf20d11	wp_a_0721_s
303ee55804b18a26	bd_f_9529_bd_f_9521_1_s
304049d122af1cad	bd_m_9320_2_s
306d66ad6dbbb9f3	wp_a_1540_s
3082ab95b7d2ce96	bd_f_9320_2_s
30af4d2266e55155	lg_f_9510_lg_m_9510_s
30f98aa79d8b30ac	bd_m_9289_bd_m_9280_2_s
3101595172e3d3c9	bd_m_9620_bd_f_9620_1_s
310822364e8df078	lg_f_9450_s
3112a1d9c1b12e1c	bd_m_9430_1_s
311b3ad3247cf2a9	wp_a_0710_s
31ae32f8d4b95e93	hd_a_9730_s
31edbd1b41f8d6b0	bd_f_2520_bd_m_2520_2_s
3202724867f345e9	lg_m_9290_s
320dd38b678c5830	bd_f_9510_bd_m_9510_2_s
324baa857930856e	am_m_9380_s
3285373d0e529717	wp_a_0110_s
32a89c2ecf1f690c	bd_m_9521_bd_f_9521_2_s
331835df222fbff1	bd_f_9350_2_s
3445bea0b45c4a35	hd_m_9520_hd_f_9520_s
348514b815176e27	lg_m_9379_lg_m_9372_s
34c029c89b5cf97f	hd_f_9230_s
35049e9740b6b968	hd_m_6200_s
35d51078cd04e250	bd_m_5370_2_s
35e165c83898b78d	wp_a_1515_s
36facc2cc1ec7a6d	lg_f_9530_s
36fb62b8f0b42254	wp_a_0722_s
376ece1780550655	hd_f_9320_s
378f5ad12670fb90	bd_m_9320_1_s
38421f4ac1647de5	am_f_5370_am_m_5370_s
3868b404d2878351	lg_f_9260_lg_m_9260_s
390f2dd9a13470a9	wp_a_0291_s
3914359b16bbdce2	hd_a_9470_s
398585d3191eb301	lg_f_2540_lg_m_2540_s
39a434ad52004d78	wp_a_0450_s
3a2307169b5ac021	lg_f_9280_lg_m_9280_s
3a474794029eb3db	hd_m_2520_s
3a53327d4a0a8563	wp_a_0240_s
3a6766df25f1d534	bd_f_9350_1_s
3a6b3fe255698676	lg_m_2870_s
3a9843a999f8751c	wp_a_0803_s
3af90c83c301c9e8	wp_a_0920_s
3b229fad746105ce	wp_a_1547_s
3b302e290e6c0975	lg_m_9610_s
3b3c8ece9967d1d9	am_m_9521_am_f_9521_s
3b42ea1a3967584b	lg_m_9630_s
3b699611ccab87ef	bd_f_9460_2_s
3bb68a517989120c	bd_m_9620_bd_f_9620_2_s
3d6ac82927f20be3	am_m_9350_s
3d90480314bdf70d	hd_f_2520_hd_m_2520_s
3dc93df3b3ec771f	bd_m_9530_1_s
3e010894e965f8df	bd_m_9340_2_s
3e0866e65837172d	lg_f_9720_lg_m_9720_s
3e5fd05f72c503be	bd_m_9440_2_s
3ec3eacca19b760a	am_f_9450_l_s
3f136ab44573f534	am_m_9720_s
3fa9dad71389033a	wp_a_1532_s
3fb82cbabe695df1	am_m_9280_s
409676c83f3dbf70	wp_a_1516_s
4175484cc2aaa840	hd_f_9420_s
418bfeff4d1b6ae3	wp_a_0608_s
420bc8f8d2f4ec4d	lg_m_9520_lg_f_9520_s
42472583c6c20363	wp_a_0921_s
4277658d42182199	am_m_9349_am_m_9340_s
42c07ca99e7288b7	wp_a_0802_s
431b5187baf21bd1	lg_f_9240_lg_m_9240_s
434ab8ad78dae309	wp_a_1546_s
437f4dad57ebbf33	wp_a_0451_s
43af580fa9d7a921	am_f_9270_am_m_9270_s
43f3a9e033e38f66	wp_a_1529_s
45914ad826c59491	bd_f_9450_1_s
45a48f7bb424ab59	lg_f_9700_lg_m_9700_s
45d743ab903e4563	bd_a_9700_2_s
460886a1781bd1c1	hd_f_2540_hd_m_2540_s
466d96b72b6d7576	am_a_9700_s
46a6a127fc2001c5	bd_m_9710_bd_f_9710_1_s
477ae0bd57a07bf0	am_f_9480_s
47e4afc842fe2f4b	wp_a_1517_s
47f7ee57daaf793b	lg_m_9270_s
489ca85e53a4d460	lg_m_9730_s
49c820f0c142ede4	am_f_9350_s
49d52e95c5fa692f	bd_f_9320_1_s
4a6a68581391157f	bd_f_9529_bd_f_9521_2_s
4a75371a99c1ddc1	bd_m_9370_1_s
4a98e9ad7c9b454c	wp_a_1545_s
4b42e2e037a5b241	wp_a_1528_s
4c4b6deadc743eef	lg_m_9410_s
4c662b815c5a7dca	bd_m_9350_2_s
4ca05252b95dc251	bd_f_9280_bd_m_9280_1_s
4ce07bd82a87a9d4	bd_f_9450_2_s
4cfc23eff0ba282a	hd_f_9529_hd_f_9521_s
4d1a2eba066cb552	bd_a_9560_1_s
4d50a0bbb41a9972	bd_m_9380_1_s
4dadb1d07fa1e601	bd_f_9610_bd_m_9610_1_s
4dc3b6fe5a0e6b2e	hd_m_9720_s
4eced228009a07c8	bd_m_9710_bd_f_9710_2_s
4f37222ff41683f6	bd_f_9521_1_s
500dc8c84779bf86	wp_a_1510_s
50ab40c950b6015a	bd_a_9630_1_s
50e7266104f0b1dd	am_f_9450_s
51b7d8d168e40329	am_a_9730_s
5248c85ffec23bb5	lg_f_9480_s
