# DSRRL stable Material Response -> Upper/Lower transform audit v1
# source: experimental/expanded-a3/audit/A3_UL_RX_AUDIT.json
# source release host SHA256: e44183ef10fc7921f7741eb16d54ec30e814f580421ac6c83be18b5308b73342
# exact stable host count: 24
host_index	historical_rx	shader_name	v29_sha256	v29_ul_sha256
0	0	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnv.fpo	b760ad4be25ba083a6c3202690ca05c2e44a16d1025e4472080ef4b130be09bb	d61e0898b61e22cd870d0316dc0e634d6b27b52172ef4a231fb88e2e02a7284b
1	2	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnv.fpo	5a42ab70f97b7fd55d61effc88b113a2dad741a43c1ae1a7988fa8b042a96e11	aa7c997736221924837efe0ef5d509706c8be97579edb02d0bcb69b79e97635e
2	4	FRPG_Phn_DifSpcBmpMulLit____HemEnv.fpo	a0526d1adf5abd64451bda0818f9c87724ed1dac8ba0db328cccafb0ebf14951	55806035da4dec8d6dbf333e978a6aed68890430aa99aab28448e8644d031614
3	6	FRPG_Phn_DifSpcBmpMul___Csd_HemEnv.fpo	db43dd55827fe62c53b00585f507c2c5065b0ef1185c4c6c153d44b654c60d86	d68fb38f2675fedfba7866749007b6fb944436b2cab3a086b6824479fc76c85b
4	8	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnv.fpo	3b4f35e5f8aeb733f7297a981560987320237a3d1c35cdf92db97507d8c20d11	5aadab707e62b86e9f532e869ef4b6103ff44567d997b6fc0cc4e0614cd72e2f
5	10	FRPG_Phn_DifSpcBmpMul_______HemEnv.fpo	6e6784e59b33c3d1a76ca59b38ed1c3dcfa6ba4eed36b8f722cc0cf16e51fa4c	2e0b73ec9ee9d05dbd881eeef35eec3992ef98b0359ad1845f6fc756441082ee
6	12	FRPG_Phn_DifSpcBmp___LitCsd_HemEnv.fpo	193b80c80b04906a886a23e3dc2db8afa05938c7f94f69ab43a3b57f72590827	53bb3e53f2473cb2a21c22aaadc53344698cd14ff538216da91f41eb59c3b64d
7	14	FRPG_Phn_DifSpcBmp___LitSdw_HemEnv.fpo	2ce2bdbf096f7d369f1b876be0fdd49ae8aaa097a63065b565cfa5428e631ec2	b0b4e41b62391c14b77f744f3bb52badb28d5ad6420af3ac66cbb40f99d5720e
8	16	FRPG_Phn_DifSpcBmp___Lit____HemEnv.fpo	082ba455969b000b3fa2bf706dddc27776078c9cbb192c32e973588bce4eb82b	3644ea7a99f1c663c121f09e65df46d40c897bbebc7af33d87164174fbe1050a
9	18	FRPG_Phn_DifSpcBmp______Csd_HemEnv.fpo	cc5cd7cf4e57b53c006b4e99536e57752b9b660c29519330af8d3f17555a1184	0680d2331996342fbe7180914357caf329b78604c6f7a37ade3e56f450759e6f
10	20	FRPG_Phn_DifSpcBmp______Sdw_HemEnv.fpo	be1e6ef94f2723b657db0eec0eca2b0cd81e2742094b9e919878189e76af2e46	ab184f7035e71c7378a009fc22755e3204970dbfb94067a0b4539fa85fab9b55
11	22	FRPG_Phn_DifSpcBmp__________HemEnv.fpo	4280e5cc026ea2605457a238452731527a0d48c913e5430ba06d7ea0c30a18c1	3056b7dcdf865840abb764be1a7b1ba77b224a14fae8ce565e3602461f5b7d26
12	24	FRPG_Phn_DifSpc___MulLitCsd_HemEnvParallax.fpo	32c9af132b24046dc46c820d1a571050fdfed2b847e64bb611e1081b0aa07808	289055d9794c109558f71e65d68d0b7b0bd2d2a31b1eacbbb5c41e52f791160c
13	26	FRPG_Phn_DifSpc___MulLitSdw_HemEnvParallax.fpo	5df4016d73e2c5a8cdebc01cd705b0a0387b04db4bf458a44a88f893d4d049ee	80ff928a8158bd7e9a539159363d7c5f2eee389b655c7f1cd1684892dff6e85a
14	28	FRPG_Phn_DifSpc___MulLit____HemEnvParallax.fpo	dc578f0a985f5c729f9ce2dace8f44ece16bf1411d0cdc8ddd6edd82a73f370a	a7eedf4bc0be72ec98a2d82df4a8467ba68b1aba9fa0f5c27ebaec5dfefa01db
15	30	FRPG_Phn_DifSpc___Mul___Csd_HemEnvParallax.fpo	d0509811b215a49e1c52f2e81b7e41e4270d4eef83c59006dcdfa745d954a337	80b9bfaa16c24235f12b48b26657c51925f2b26491a454e8e56e7c8142f3ce21
16	32	FRPG_Phn_DifSpc___Mul___Sdw_HemEnvParallax.fpo	07e21818dea3905c0d6f97bac27097c6a59885a2d34f62f4b084470bcee50363	84334c9124a375b5c5a0c6e16be5e9aec475da31a237178c7af6a1c77e10679c
17	34	FRPG_Phn_DifSpc___Mul_______HemEnvParallax.fpo	4b894f89e161de79fdd09fe03fe21510e8dddea060b48c3ebfaf0d83719dbb91	c6a96381cd4919b0824a80750aca4578c412a7eb5193c37c27c2d8ceee87389e
18	36	FRPG_Phn_DifSpc______LitCsd_HemEnvParallax.fpo	fce5bccec49b0944953d5c8e4dbe1ea75cc5963bcf8843b70234e8fe20b54054	4e3637f70da93e511c62c19216e0ed7bfe7ecc914321aa7f0e273ad6e9b711b1
19	38	FRPG_Phn_DifSpc______LitSdw_HemEnvParallax.fpo	f4926322602f849c5f386d261bc7dd77a177cbd77bea26e334790bf280642512	acb2f769ed8708e642cbecccf6671b7b30ab466708eacf9ce367b51be1289496
20	40	FRPG_Phn_DifSpc______Lit____HemEnvParallax.fpo	643d9dc7784017eac905e2bed0bfd48ab691ee1cf2c4bce4320c83df20641d4c	09bb22fb1e396e24ac5698740903fdceedf571fa91f3f8afbd6f387d1c70c6f9
21	42	FRPG_Phn_DifSpc_________Csd_HemEnvParallax.fpo	6de36c915c504d49c9291fe919740734d99efd5e691a680de4e3f105d4a30c35	9499860b4b2695aa5a604941e21503dd588b91f569541337531b3c1c2534b725
22	44	FRPG_Phn_DifSpc_________Sdw_HemEnvParallax.fpo	dfa01fcfc8d0a5b09f770a025ea4ee1dff7936b55c2cbd7860865fbef392b0c2	fefe53fc583fbd1ac58be57d00955ba33c16a611cc0be8f6467815f4868b49cd
23	46	FRPG_Phn_DifSpc_____________HemEnvParallax.fpo	36007bd9d4ddc86a8065e70c0e9102893115e0536352f08b0f3723d6fcb0d081	63aa7830b1cc90a673151fd3d40e44a3ce3bbc8c3c9125ee604f3ce2875b0818
