# DSRRL Upper/Lower gst exact executable authority v1
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# one row per unique executable SHA; exact U/L triad only; byte-identical aliases are deduplicated by stock SHA.
plan_index	shader_index	stable_receiver_id	stratum	family	declaration_word	name	stock_size	stock_sha256	u_slot_word	d_slot_word_0	d_slot_word_1	replacement_size	replacement_sha256
180	35	0	spc	gst	11	FRPG_Gst_DifSpcBmpMulLitCsd_HemEnv.fpo	23648	599240be99fba640e43e28e7ebe540fe6dd8b82dd1a253b4fac3d00a96d885a7	2077	2081	2091	24856	8d34003f71e80ccedb7721b55a5e72880d3e30e2ce8377647b8f59d90bc010ee
181	39	0	spc	gst	11	FRPG_Gst_DifSpcBmpMulLitCsd_HemEnvLerpPntS.fpo	23664	bc65c574d0d8b339f5fbcf0bd889b66fe43f4bbd32fbfeded4278d95401331fe	2077	2081	2091	24872	15bcac90fb636a0f2c652df2ab9228795accde5126db758d5a2fac95b81ab935
182	49	0	spc	gst	11	FRPG_Gst_DifSpcBmpMulLitSdw_HemEnv.fpo	23348	0a667972b27dcf731d3a40de00aee616b372a54184428408a6bc2d17fa95cf61	1986	1990	2000	24556	a889573c25f2e53ed34827be7f07d5a3c3c4524d778f0c16a53a0e8778de5aca
183	53	0	spc	gst	11	FRPG_Gst_DifSpcBmpMulLitSdw_HemEnvLerpPntS.fpo	23364	8a7631b58549f88c74c022cad180633c415fa32de318f09159083bf5d8200fc6	1986	1990	2000	24572	e322412321d6a903668a12fa6c1a3913da30ea1261a91e579034bda40d0c7123
184	63	0	spc	gst	11	FRPG_Gst_DifSpcBmpMulLit____HemEnv.fpo	21864	7167033f2a06fd408c5d06c4cf30314aa45cc0d9ca095af4218fa3c9c7e5f8a3	1642	1646	1656	23008	dc12959eb0a8821f6e7af12d9dec2b0bb3fd993c2f750fa425ad3bb4116ed412
185	67	0	spc	gst	11	FRPG_Gst_DifSpcBmpMulLit____HemEnvLerpPntS.fpo	21880	989df5bd1d9ad619c2a6cc0f7bf76154311ae7a320a657940338940308bf1bdb	1642	1646	1656	23024	56a066d91c10eb7b1a236c707e895ba142ab4b4fed52a80f706f15be31bf7dce
186	77	0	spc	gst	11	FRPG_Gst_DifSpcBmpMul___Csd_HemEnv.fpo	23256	1577eaccfdeae61f6415a02c30dcbaa4b5012672f23f72cda561e36ce1fe1843	2022	2026	2036	24464	cbda06090fe766062b49c40225138b24a641dbe6fe6c437c52eec74208333dd4
187	81	0	spc	gst	11	FRPG_Gst_DifSpcBmpMul___Csd_HemEnvLerpPntS.fpo	23272	7142476c2627c1f4687e6dcb68a243624f2a1155fcb427083aa661e8ffad229d	2022	2026	2036	24480	54926b23bc135b6832f22281a07429cb0cbc209e3c5989b61233daf955bf79e0
188	91	0	spc	gst	11	FRPG_Gst_DifSpcBmpMul___Sdw_HemEnv.fpo	22956	51105f8211bd402bb14c6ca3cad69699a51eed19bce796bb57c046b6d23b8d6b	1931	1935	1945	24164	14aa314455773588d19cdd66ccf9f0f19969cdece02344aa53a43784f43d1f62
189	95	0	spc	gst	11	FRPG_Gst_DifSpcBmpMul___Sdw_HemEnvLerpPntS.fpo	22972	14b9645d033e77e001311634d0bd0f8ff39bd4a82b91854ec331f293f00796f8	1931	1935	1945	24180	ccd72c2c382803956a699342e6d73cb2d137ddf890846b3ce4032c3492213f8d
190	105	0	spc	gst	11	FRPG_Gst_DifSpcBmpMul_______HemEnv.fpo	21460	da7758481f590a29dd1e7b33c147f407c63caa6cd5d21114b462de2adfee8167	1584	1588	1598	22604	e46b08d6b96a173940633909414b300311a7adad0fa59034a920a5071c4fbd65
191	109	0	spc	gst	11	FRPG_Gst_DifSpcBmpMul_______HemEnvLerpPntS.fpo	21476	1ea99283f2b4a2e5565e707b6a815007b7e42e4950c3365ed3a44df03c69156e	1584	1588	1598	22620	8ae6af67a1e3460bea1daa199ee3ad1031f9b3b9833668ee4b06d07f7c0a961c
192	119	0	spc	gst	11	FRPG_Gst_DifSpcBmp___LitCsd_HemEnv.fpo	22228	45a87e9c075ece42329da6624ca386c5412fd251b5142526784ac34c213602d4	1804	1808	1818	23244	fd6916d6808de32c8e284234aaa533dfb944b2fb140867c33a488394780e9d70
193	123	0	spc	gst	11	FRPG_Gst_DifSpcBmp___LitCsd_HemEnvLerpPntS.fpo	22244	dfd1ef43d340a9c0422e99ba70f61ce82103f7627bbda9db48be6297acec29de	1804	1808	1818	23260	85fcc4861283411207a851b2b3d796032864314f64da81636331a3ebbc03a760
194	133	0	spc	gst	11	FRPG_Gst_DifSpcBmp___LitSdw_HemEnv.fpo	21928	09663e3618967630179e640449c988d7ef02ce29cfb16635b5a33e0f11fd4d1a	1713	1717	1727	22944	fd071589e76c59caa97e3ff3d1786ca988e2c2ae0660716fa6070016509344b2
195	137	0	spc	gst	11	FRPG_Gst_DifSpcBmp___LitSdw_HemEnvLerpPntS.fpo	21944	dde315f9a350c88ff1c4d01549a1cdb61569983d2a5bb90c0ac5462ad8892c68	1713	1717	1727	22960	a044bc7b30460486eab0c36f520905fbc73f107b2186c6fe8bc4072b454532da
196	147	0	spc	gst	11	FRPG_Gst_DifSpcBmp___Lit____HemEnv.fpo	20444	a9828a6e84fb7e7460579baff3f7131d4c5246fb7a4fb573b04e8a66e8dab727	1369	1373	1383	21396	4008ba0b65125fe7f917f2a8f7ef27ffd89def4393362af57a61f6e24fa9ae0f
197	151	0	spc	gst	11	FRPG_Gst_DifSpcBmp___Lit____HemEnvLerpPntS.fpo	20460	c1c3a9d4dc78fa318b040173e8db82aeda3736e9534383e4681d8df5001661b4	1369	1373	1383	21412	7bde12818e5828f34261b46e315319ff9797ab49ceb5b26b3d2028bc543ddf84
198	161	0	spc	gst	11	FRPG_Gst_DifSpcBmp______Csd_HemEnv.fpo	21872	42ef4fd39c71a604fd179833146da3cfc3fdb762d677906a3c1a589dc2b0e75a	1752	1756	1766	22888	1d3f77faf73cfe756a7f27d5d6131d935f56a098a10f1847400598a88af2e9bc
199	165	0	spc	gst	11	FRPG_Gst_DifSpcBmp______Csd_HemEnvLerpPntS.fpo	21888	628958393befa3f48c52b7bb82a7af6eb4e76ea22707eb8423b7ab861b1b3c85	1752	1756	1766	22904	9c381f46ba3f6a182eb6f86428ef3416a4f9698c283689ced80bf21d173181dd
200	175	0	spc	gst	11	FRPG_Gst_DifSpcBmp______Sdw_HemEnv.fpo	21572	7478b1bd52354bd6d135ce567e3b0dfa21452289861b642f1758ce15f8ca5222	1661	1665	1675	22588	5a3146870e15fbec3e2e5dc4b09c89d25a5d8a99bd6a5390424a33a4889f4978
