# DSRRL Upper/Lower HemEnv exact consumer authority v1
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# selection=FRPG_Phn_*_HemEnv.fpo; non-Lerp; non-PointLight; exact gFC_HemAmbCol_u/d SHEX reads only
# 36/48 ordinary HemEnv receivers consume U/L: 24 Spc + 12 no-Spc. Remaining 12 have RDEF vars but zero SHEX reads and are excluded.
plan_index	shader_index	stable_receiver_id	stratum	name	stock_size	stock_sha256	u_slot_word	d_slot_word_0	d_slot_word_1	replacement_size	replacement_sha256
0	723	24	spc	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnv.fpo	21744	4e1621be5caa251782e7dab08b2aeddc033dcab6352edd4ed022cdeda8328083	2077	2081	2091	22952	e853355321c74791fd4a6e1d7a89cef70bd382dcacee5a91c6533581c3d1aecc
1	742	25	spc	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnv.fpo	21444	a6d599351b3e14acf65aa26ca81e358fd691b13b684021399fa59bd174397b7d	1986	1990	2000	22652	ae47098afad0b0b9157e90176fdc7f2a6ee5af78465398507b295cc40e88938e
2	761	26	spc	FRPG_Phn_DifSpcBmpMulLit____HemEnv.fpo	19960	3c733a0f7b3ad4e9b7af042cfb27380a79b595123b6a3fe43b81ccfc9e0f6d0a	1642	1646	1656	21104	eb3d043e698d4bf5e64bae6f4e8f990cd69c73cc38f9b429b1ccdde93d1d2cf4
3	780	27	spc	FRPG_Phn_DifSpcBmpMul___Csd_HemEnv.fpo	21240	26a804f746b95199070951b8f17e9e4fa170de9c284727d33b9687a74121a397	2015	2019	2029	22384	f7115ba8cd97d6e23c974a38894a4acd86faca88a4a03ad0e13893fd93509394
4	799	28	spc	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnv.fpo	20940	792d99628b2a84f88ef94b04361022eb277851c093d2b83fc2ba8c738fc32cf4	1924	1928	1938	22084	b0d170b4b2f3ca0624f0216f4ac9597dfa4b168bdaa26b5990430a63c207b4b0
5	818	29	spc	FRPG_Phn_DifSpcBmpMul_______HemEnv.fpo	19444	6b2b0708dc6fdc6954b9ccd7ba3c26d4522e0ad0808de59a6a226e9682c36865	1577	1581	1591	20524	34e893fb13243abab89bafecaf9ffa6ebd5332f03d9a6d4bf3db04b19f50c00a
6	837	30	spc	FRPG_Phn_DifSpcBmp___LitCsd_HemEnv.fpo	20324	45f6a12363da9146626f97bfbb9f87d7ff37375cc70e7e07df4e34aaefe8bd20	1804	1808	1818	21340	62b621c401a5bac3db577926fa5974fe3dd0f3b4f867870cb83e8b3a25619641
7	856	31	spc	FRPG_Phn_DifSpcBmp___LitSdw_HemEnv.fpo	20024	9d677cebd791c86c105ee6b9a24edef5699cc7fb3c96f2b6362a4216d296b402	1713	1717	1727	21040	1dbd027cc4ab1d22c10d27233e75cada6d3d1cafd4f5e3d4e8907c170e021d4c
8	875	32	spc	FRPG_Phn_DifSpcBmp___Lit____HemEnv.fpo	18540	b16982cc2f94c0f20e84cb0d81b79bd75ce474327c74c5db9515b0955719dfff	1369	1373	1383	19492	cf1114f41461697e6a2bae32b6d3c1439b5c170fb75184e1348653ae28f043b8
9	894	33	spc	FRPG_Phn_DifSpcBmp______Csd_HemEnv.fpo	19856	35880c0b2f2330208dfc21af6dd3d944218fcc4540cd8e59404a0aefc13c0b24	1745	1749	1759	20808	dda18a8bae6d3a56c08976431c37cb94ac0dc42b09be4ad72f624aa4456c4073
10	913	34	spc	FRPG_Phn_DifSpcBmp______Sdw_HemEnv.fpo	19556	d6038de494509e7cbcbfb904c4046e9427f3b921f6a35735a0b0d316f9976837	1654	1658	1668	20508	6d37ec87e18615a239b3aa4fa99630160613a631cee43d34c9fd7e5d45c8e2e2
11	932	35	spc	FRPG_Phn_DifSpcBmp__________HemEnv.fpo	18060	7d03c75b69f5730eb741a4d327189d0bbed8a8450fb0ac04e1505f7b91763701	1307	1311	1321	18948	44c054ef6887f059b1b10588025c6037b59d682447f894c4f7c7e56b2ae0903e
12	951	36	spc	FRPG_Phn_DifSpc___MulLitCsd_HemEnv.fpo	19704	366b6f19034b995db64413a07b8556cf36f1ab9654e17950e66e5bed3ae2e412	1633	1637	1647	20784	f7ac801b067f6402acd280145e7f4cb0c12905a7d46b058f4148ea58c9c83c98
13	970	37	spc	FRPG_Phn_DifSpc___MulLitSdw_HemEnv.fpo	19404	1af91fe9c65cdbe6de2a9465690c441dffc3d49f207b26a49043b7d88a7e73d9	1542	1546	1556	20484	5bcf83fe95575868f2d2d3fc849d531c64d80f3ca8a8f3b19812b241b94354f7
14	989	38	spc	FRPG_Phn_DifSpc___MulLit____HemEnv.fpo	17916	10aac239a29f68a0c146bd3c34bcde9cda2bdab2af4ffccfb5401f7948cab8b2	1198	1202	1212	18932	8e2ec3fbc9b7cceeef9a5e0f4ee6f4f6ba3af9d88b1489fb1189fa3860a85ba6
15	1008	39	spc	FRPG_Phn_DifSpc___Mul___Csd_HemEnv.fpo	19196	d0f5a05bde4bbbfe37f63dfa87cbb6a72647613520648705d74600b2278a4c1d	1571	1575	1585	20212	2db07062bc0b299d12f71cf6b22efb5148b172184323d540db5197fdfad65499
16	1027	40	spc	FRPG_Phn_DifSpc___Mul___Sdw_HemEnv.fpo	18896	a2b0634d39addc1b3d7557a4a1f3237512c6d490f2ea4cf7ae44fa68688140b7	1480	1484	1494	19912	fa53c3c10a544026de5bfbb584ae8d40c2e9ba81be146cc2f0df85f005a9737e
17	1046	41	spc	FRPG_Phn_DifSpc___Mul_______HemEnv.fpo	17400	46c09d580e56f5281cff062678cc5156a665b253864a5d04ad53246671296de0	1133	1137	1147	18352	f39020b5623017cb4dc0f1f1be75b46e8b0eccf4cc2eafb1e092854fc38d6551
18	1065	42	spc	FRPG_Phn_DifSpc______LitCsd_HemEnv.fpo	19164	6a6e4ca937fb3ec1308e2a6500148841c5d60bb5dfbd06ae5385dcc38843444e	1547	1551	1561	20116	61f056a0fd7861c19050314ced0db3ee8b380104065f04a4d006e28e4b71262f
19	1084	43	spc	FRPG_Phn_DifSpc______LitSdw_HemEnv.fpo	18864	a927579c36b9c037b644dafec34e49d5fb4f549ae22674259d1efa051adbd779	1456	1460	1470	19816	3a5c791f450a3de6fb5af0efebf6a1b35a0e31834d908174fe130d4b37d5db06
