# DSRRL Upper/Lower HemEnvLerp exact consumer authority v1
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# selection=FRPG_Phn_*_HemEnvLerp.fpo; non-PointLight; exact U/L operand triad [b0[7],b0[8],b0[8]] only
# 36/48 ordinary HemEnvLerp receivers consume U/L by exact SHEX operand triad: 24 Spc + 12 no-Spc; remaining 12 have no triad and are excluded.
plan_index	shader_index	stable_receiver_id	stratum	name	stock_size	stock_sha256	u_slot_word	d_slot_word_0	d_slot_word_1	replacement_size	replacement_sha256
36	725	24	spc	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvLerp.fpo	22268	2dec61db609109cf856505add0561cb96837b776eb68c6dc68328eddb994dd7d	2159	2163	2173	23604	15f6f9ee7543e882bd9f1bebb5d62e7a1df3696811b4368fa90f9bd782d6d0bc
37	744	25	spc	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvLerp.fpo	21968	d23134ad7300feb326999c404496280e318ae7d1fded8bfdcb07f6870b5ae0ad	2068	2072	2082	23304	a535f216bf23791ac5d5b7787a3470cf97fcbaf6f8a1ac24b026a2639a8788ee
38	763	26	spc	FRPG_Phn_DifSpcBmpMulLit____HemEnvLerp.fpo	20480	8d39fafa8fafc0515b8225e72eba3a128352f813469abe18877dd550a35d68c9	1724	1728	1738	21752	f12a7e127651b3816bbf1e7c2fdd1918dc63b02fc4c9e8fdbd24195d59b084f7
39	782	27	spc	FRPG_Phn_DifSpcBmpMul___Csd_HemEnvLerp.fpo	21760	3d693cb4a4ea671a0dc22b7d055a9c0537ab60783a960486000bed5cef1dfc9b	2097	2101	2111	23032	82d31bdc5b7c0c74a7574b409fe96ec3ed84a4a443930737e5df7f8f4653b54e
40	801	28	spc	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvLerp.fpo	21460	8019f3bee9d249387d95c4c3dd1a07042c5fde6feeee82b64a429f36e3532b10	2006	2010	2020	22732	df8a01019fd5cc53fab60edf47ade22aa94da4fd63c81011cf5a42b89ad9b451
41	820	29	spc	FRPG_Phn_DifSpcBmpMul_______HemEnvLerp.fpo	19964	1d6e6484fc9dbd8720f9649fc2d921d9f905f0821b6876600d6dc3aededbb18e	1659	1663	1673	21172	ad2196223fbc5483f8bfc53db292054493e647df57414b0f7853649e3cdbdba5
42	839	30	spc	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvLerp.fpo	20848	f76551a54acb84bc6e4bf39f7b267e9f3e70ccf6f6361a42820dd176a8fc82f7	1886	1890	1900	21992	c5a269e02757b8435e829015a3c39ea7b114abe536c9cb150c58269fe9609d09
43	858	31	spc	FRPG_Phn_DifSpcBmp___LitSdw_HemEnvLerp.fpo	20548	9bf243a4fb85115dd7d90e8721ec81a9e52139d76e4a78247b87c737ff360c3d	1795	1799	1809	21692	8fb8e0e8af7443c7a8fc08a21f42a112b848abdbb21dec17db4a28027501c276
44	877	32	spc	FRPG_Phn_DifSpcBmp___Lit____HemEnvLerp.fpo	19064	0acf2a9735ef8792383ca94c43673e367feffbde1f47155e045e66a322dc6201	1451	1455	1465	20144	a992a0115541a087c4dd77119713ec401c15bddb8ff51a1aacd498ae5ce0a4f2
45	896	33	spc	FRPG_Phn_DifSpcBmp______Csd_HemEnvLerp.fpo	20380	7f113b3614f401de8f03cbc03f004fd71152f606cf58c86232c423479257fd85	1827	1831	1841	21460	2cc973c3f7bf786877c75e6c9fb5fae0eac7fabbb24a451a444d6387b1a4f702
46	915	34	spc	FRPG_Phn_DifSpcBmp______Sdw_HemEnvLerp.fpo	20080	857aa73d1d2f7ab839d4e9feae29be5b9462e18a34305ade219e5ee2a85af9db	1736	1740	1750	21160	25453d0c6f93c9c0cb013492ec3487c0dc6eca82f6f7e27bc728ce91d12672af
47	934	35	spc	FRPG_Phn_DifSpcBmp__________HemEnvLerp.fpo	18580	9075b0806f0a8560977f096780aa68f44ef02be25d71be05bd51d802dca6d7e8	1389	1393	1403	19596	dcb6b90420bc917d358e97f46afbbc3455841b81678656819dd7515eb55e9fdf
