# DSRRL Upper/Lower Phn Parallax executable authority v1
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# selection=unique DXBC SHA not already covered by ordinary Phn HemEnv/HemEnvLerp authority; exact U/L triad [b0[7],b0[8],b0[8]].
# 42 new executable SHAs: 18 HemEnvParallax (12 Spc + 6 no-Spc) + 24 HemEnvLerpParallax (Spc). Byte-identical aliases stay owned by the earlier exact SHA plan.
plan_index	shader_index	stable_receiver_id	stratum	family	name	stock_size	stock_sha256	u_slot_word	d_slot_word_0	d_slot_word_1	replacement_size	replacement_sha256
72	732	24	spc	hemenv_parallax	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvParallax.fpo	22948	63dc521e3b29868979e8d52bc6f7f56b949416f5c1368139fd2c7bad5c527451	2351	2355	2365	24220	a6b80df91f867d44270fbb82c419efc43aa9e2ce4a98c9b2af206ceee2f14a2b
73	751	25	spc	hemenv_parallax	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvParallax.fpo	22648	587103eb8cd6938cd7f03fd215f3dd610fe842a56dab8cdcb7c5cdc2138ba999	2260	2264	2274	23920	7fe25eff6af9a53911fe70d7562c7053df309f773b0a0cd74ff5480259a28a97
74	770	26	spc	hemenv_parallax	FRPG_Phn_DifSpcBmpMulLit____HemEnvParallax.fpo	21164	7b901c39a6e969ae7b7a9e2c2b4dc86b4ce34a5ae4976371b80d2eabc52b5bb0	1916	1920	1930	22372	0d41e73a2275b193890b05a1dc956dc6bb25f665a8f64778a8463331aef32755
75	789	27	spc	hemenv_parallax	FRPG_Phn_DifSpcBmpMul___Csd_HemEnvParallax.fpo	22444	60b7ab7ce9b793f67bd41292ef5017cb7bae1efc556c5f0b30ca82e3c3901247	2289	2293	2303	23652	201b79aa596d4072a2a62c2dbcd5c5ae52da5477afb68a29798cf5458f44ba40
76	808	28	spc	hemenv_parallax	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvParallax.fpo	22144	127c8bf9c0c91b0def765e4b48506949ef82585769696cfe0672c7b04a3c8f64	2198	2202	2212	23352	01ea4313d3ba721dad27c9e6f32d7f6abad6aa4416618ba62dd89d84ed5da051
77	827	29	spc	hemenv_parallax	FRPG_Phn_DifSpcBmpMul_______HemEnvParallax.fpo	20644	0a2e5dbe1e45fa0dea5db0e80e799b218c471e940b75448ac296d4edbdcf2da4	1851	1855	1865	21788	24dfa5287a80bb8c9c86ba9c052ca327cf50a8fdb274af4220a6cfa8e06bdcf2
78	846	30	spc	hemenv_parallax	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvParallax.fpo	21528	786738d87ec4ea477f598067ae0eb3ac7c50b7d4d7110ed673cddac21185c77f	2078	2082	2092	22608	f82db8724843e6e5b7e273c4e195fc6f5ad1aa6b38817b4197f965d19540cae1
79	865	31	spc	hemenv_parallax	FRPG_Phn_DifSpcBmp___LitSdw_HemEnvParallax.fpo	21228	062b765405d27ae8aafee948dbd15ed96105c21f61eb7fb97cb505136fffc58c	1987	1991	2001	22308	0a9d0bb62dc5296c05cceb27026cff7394ddcb9fca331322c23e0cf87fec1d2f
80	884	32	spc	hemenv_parallax	FRPG_Phn_DifSpcBmp___Lit____HemEnvParallax.fpo	19744	98c9ce138340bf9599112878d959c8a8a50ced0d3a400b3c16de7cdec094e9e4	1643	1647	1657	20760	c5db99880a8c7a16d4968e45f60f1ec09b36f9eddf4b96c265b85230bcaeaf92
81	903	33	spc	hemenv_parallax	FRPG_Phn_DifSpcBmp______Csd_HemEnvParallax.fpo	21060	bb73ef296301b06af3afe5a2193659eb6d799cacd86c68f5981e811d2d002d6d	2019	2023	2033	22076	4d23f27e95e745e68889db2d53b2354b4138a7bf509bad6d68ed825525c01ea0
82	922	34	spc	hemenv_parallax	FRPG_Phn_DifSpcBmp______Sdw_HemEnvParallax.fpo	20760	8caabe71ef6efc488440adf638a4dcf92977abbd7550cd03fead65fe82738203	1928	1932	1942	21776	f2b003336deab693a167605fe32b5391de06246f063c62adfee7ab08b916b7ee
83	941	35	spc	hemenv_parallax	FRPG_Phn_DifSpcBmp__________HemEnvParallax.fpo	19264	a7e84f8a9a1da51cfbefd11662f849d1592492b477e33156f2e2b05cdf6c0318	1581	1585	1595	20216	2aeecdb28aefaa42d0c614d574e46d422dc5b2399284d1de690102cf075549a8
84	1302	0	nospc	hemenv_parallax	FRPG_Phn_Dif___Bmp___LitCsd_HemEnvParallax.fpo	20916	c91bd5a07c18b11110bcae2176d145f182f957cbd82261a094739084de1e15c4	1945	1949	1959	21932	4e9c03cb7e705b5858ab0a0fb9503008e73b21fac3576355775cea42edde8890
85	1321	0	nospc	hemenv_parallax	FRPG_Phn_Dif___Bmp___LitSdw_HemEnvParallax.fpo	20616	344309cbaa7c94e257d560aa00264741456a41f61278706a5bc835fea1ae667b	1854	1858	1868	21632	419b7994bfc909e160b379e3f71e01cd51cfe972d70388270e5bc1799ee3097b
86	1340	0	nospc	hemenv_parallax	FRPG_Phn_Dif___Bmp___Lit____HemEnvParallax.fpo	19132	5da26da45207f25654c4c3a186c59a10be74143ed6d0c9a32596f7c708068a85	1510	1514	1524	20084	bba4ca4e31f7b48ba0525cbeb0331edae006630cadc6027338a252abd4851780
87	1359	0	nospc	hemenv_parallax	FRPG_Phn_Dif___Bmp______Csd_HemEnvParallax.fpo	20448	f1f497a0f6589f65fedeaed9c4349551f4a975bf0c5de7fbae7bbff6decb3c5e	1886	1890	1900	21400	b2a64efbbfd413ec39b19b458eae174c896a6191880e0b9b1250cdbf2bdbdbd6
88	1378	0	nospc	hemenv_parallax	FRPG_Phn_Dif___Bmp______Sdw_HemEnvParallax.fpo	20148	9c6cc44830f774136d6e04752d43d7aac791022e306bbf783cd7cdf158fc6aac	1795	1799	1809	21100	5fc83ef5366bba5556dc6300ad30378eca73794f7ebaf1de7ac8e1446a5166a4
89	1397	0	nospc	hemenv_parallax	FRPG_Phn_Dif___Bmp__________HemEnvParallax.fpo	18648	aa9e6c169b85f36d7499d01257cf72f9bf28bf41f77141a1e1b3c832f0f8b08e	1455	1459	1469	19536	2f9dbd9d6c52fa61acbf56eb0b794845c38283069227393614e6c626b7adb34c
90	727	24	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvLerpParallax.fpo	23596	1ae658fe20f394933130511c8468fad7e44c6d5cdb91547f968f7773f81b8a99	2458	2462	2472	24996	6922c053bba752ca87fbe8c99626685c6ea84697ab62c2d757e0afd3f332c6af
91	746	25	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvLerpParallax.fpo	23296	679310a4c6cbe883a3996b2174dd7ae29388802258be3e7f3916dec6860c29fc	2367	2371	2381	24696	e46278ffef247540fe51ebc887aea3f434af73ad7e8e691224186b7c3dbb3037
92	765	26	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmpMulLit____HemEnvLerpParallax.fpo	21812	adb7e7ca99ab080c791f9f5b0cd561facbd93db6f6ea60c703a1cbd8db260439	2023	2027	2037	23148	fa15ddfa97534d37ca4df15f92e5b189812bb5e19c43de21f626ab0bb31adb51
93	784	27	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmpMul___Csd_HemEnvLerpParallax.fpo	23092	939eaea45eb21ca952d9034cf0ab06c9927381983026b8c58ce1098ff93611d4	2396	2400	2410	24428	a09fe1c5bbad054ac143ce1e583db8a80f9cf33eb36aff63a8d505f07d397a00
94	803	28	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvLerpParallax.fpo	22792	7f605c955219e6037e1e23eaac47c6c58a3a31c8540e30786137853e48c2225b	2305	2309	2319	24128	a02cec972ad5f51a27a226bc82cc4f0587554abb2d84faf88c11bfa801912289
95	822	29	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmpMul_______HemEnvLerpParallax.fpo	21296	709870f76080e6a9e502d3ed482dbad8f8d9883b4dd05407358081f7a62774d0	1958	1962	1972	22568	1788f0666fe40d3517f3d6a92f853d2a6228914af91e0402d33cc283a36db0ce
96	841	30	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvLerpParallax.fpo	22180	12397fcbbf33ec199d47ee980a4cd86714f4a7d9f667320a0fd837df63c0d77a	2185	2189	2199	23388	e32ae9d5d1f0d70b18e8b5d6af075c6a94a0e72cad38392d8f27975f188b4df9
97	860	31	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmp___LitSdw_HemEnvLerpParallax.fpo	21880	7170f5ca6da9a6a6d355bb49dbb373b02c76a247459925e25971726186124d48	2094	2098	2108	23088	dd888950f84acac528933bb9354706d86b1c75491b812ec419ace05c746a90f7
98	879	32	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmp___Lit____HemEnvLerpParallax.fpo	20392	b89e36e69fb786e9443bd4ba6db3ca2c4a33e35d8849d0747d18de7493ee17a1	1750	1754	1764	21536	470ed46ab20fe909f55cb2c45646c634f01ed2a1465d1a15f6b424d8dfaf6dc4
99	898	33	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmp______Csd_HemEnvLerpParallax.fpo	21708	2a6da0e655d0d44793a78e2f16eb5f583e31e2b2389ee453809cf2a62300c742	2126	2130	2140	22852	993f21d52763c2b033784424730af771f772294c94acc6d4297d9a062e7b9fe5
100	917	34	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmp______Sdw_HemEnvLerpParallax.fpo	21408	c973fbb7405cc652e7bba23115be334e803b4107b7061961bd5aab8069983f22	2035	2039	2049	22552	0c5ba928f03543e63dd7bdad52c90d65a45158406335334621009071340e444f
101	936	35	spc	hemenvlerp_parallax	FRPG_Phn_DifSpcBmp__________HemEnvLerpParallax.fpo	19912	8f2f9d77c3c3650fb4fe77af90776df2f58032c6adbe3f59d630a2f0f8a7a9d8	1688	1692	1702	20992	06b20e5c56f8dd91bb2264d4a7f5f882f18343257fb761d9c1fae99332c064f4
102	955	36	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc___MulLitCsd_HemEnvLerpParallax.fpo	21556	5c6e4c196f7135afb33dfbcefb309ed68ab1a62bc8f6fc5796821ad2b2e68bdf	2014	2018	2028	22828	d801284c14b3609b2cbd5fb31b77aeffdb2bbb392bf64e67754fe4597cc19013
103	974	37	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc___MulLitSdw_HemEnvLerpParallax.fpo	21256	9b1db5c7ffd7e53a7fa552acd92f90b39d24ba139430fbea276c11deef87181c	1923	1927	1937	22528	dfa9847177529a318401285afed291c20629441136950d99ad70504b12d2b060
104	993	38	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc___MulLit____HemEnvLerpParallax.fpo	19772	d6d23af57cdcf8cda94c6c56718d10a1546bb16da914416a2530bafa2d1d44d3	1579	1583	1593	20980	849045ac17719bbd10728db41bd37787e0d9b2b51f2444c484e7882f13783e58
105	1012	39	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc___Mul___Csd_HemEnvLerpParallax.fpo	21052	497c39506218a0d2d049f30b353e8bd96709d84a0eb24e1015a99b2a955defc8	1952	1956	1966	22260	0e376c928c6033774b2753bb47b0b4ca2d07b41b1b8d3d7e9fc812c3e13b2e38
106	1031	40	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc___Mul___Sdw_HemEnvLerpParallax.fpo	20752	ddf9c7e3f55372176fa7ec0ceb29eaf95502a00358e372d5c49d5703ea3aa258	1861	1865	1875	21960	b2d0f12621651a5ad37207e3fdec05f4b68c5a07e52d17d159be81ca38f95e75
107	1050	41	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc___Mul_______HemEnvLerpParallax.fpo	19252	50628351f31c7758c1995e020b601f2536c7a8a9ba9106497ca52e01534997fb	1514	1518	1528	20396	12e1dabb87dc80ec5af8e43401b9be96330d0ebbf43bd0aa92021d7c581ce61c
108	1069	42	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc______LitCsd_HemEnvLerpParallax.fpo	21016	23a79e5e7735ef823fbdba3274861075ebf167edec75a8bf06024d229092afbd	1928	1932	1942	22160	05d7167553fde9ba8e942cec0eaa188998a2114894c7ae29024db7c5a7363e72
109	1088	43	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc______LitSdw_HemEnvLerpParallax.fpo	20716	c2c59ce2ff1aa2a7d8e8ad127be964e8d7a22bca2aba3e3e5c7fda97d134b408	1837	1841	1851	21860	08df1bb99e0f9f08da0dbc922c02a02a0f2aac2a50698cac45a86beaef7153d8
110	1107	44	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc______Lit____HemEnvLerpParallax.fpo	19232	f942908acaf402466e61962ccbac87dea3c75d326305813459d35ad5c55ed6e4	1493	1497	1507	20312	c9f01b1f9b6d0568679b939bcf8182cec5d0881afb9cad031ff7a0edd74b1361
111	1126	45	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc_________Csd_HemEnvLerpParallax.fpo	20548	507023f3779c0482ad0e0ea6fb5e5c96855d70caa6c957bf1d4ad8f8bae825c4	1869	1873	1883	21628	afad93c324f1ec74bc6e16b794f7552c272ae4a60080fa0bbb9c16f181fa7e7c
112	1145	46	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc_________Sdw_HemEnvLerpParallax.fpo	20248	e1002d90159a26eee69fdbdb991c8d34f623fbb6ec08e63c868e4391175716a4	1778	1782	1792	21328	c7137ad28446aef2afe62e4cae18c10fc00b270e1492f4ed1219e729df1aa0d4
113	1164	47	spc	hemenvlerp_parallax	FRPG_Phn_DifSpc_____________HemEnvLerpParallax.fpo	18752	210018333e9ecfed716612b2c61db945b21b030fbedeb25e684c1f602b3b6b15	1431	1435	1445	19768	8497e996d285eb7105aff733d3fdaeb2b6a76ff9e47486c6798b54713d9dc502
