# DSRRL Upper/Lower Phn PntS executable authority v1
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# selection=unique executable SHA across FRPG_Phn_*_HemEnvPntS/HemEnvLerpPntS.fpo with exact U/L triad [b0[7],b0[8],b0[8]].
# 36 executable SHAs cover 72 binder names because each HemEnvPntS/HemEnvLerpPntS pair is byte-identical.
plan_index	shader_index	stable_receiver_id	stratum	name	stock_size	stock_sha256	u_slot_word	d_slot_word_0	d_slot_word_1	replacement_size	replacement_sha256
114	728	24	spc	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvLerpPntS.fpo	21760	fc93eb2c09aab6cdd3000e4fedc82bacd522094e45aac3e3385525391656b368	2077	2081	2091	22968	a2b4914d31b59e573bfa7952fe3cbab2778ba3ef0e523ae357adc7ae1168a7a4
115	747	25	spc	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvLerpPntS.fpo	21460	bedea66ab6a4dc93cdd5df401f7c499e6d9e72b7e4ff6bd864b31281457b33fd	1986	1990	2000	22668	510c3717b1de5c33f14b8024f0657949a7b62d2cecd5f02326c49bb404e587f8
116	766	26	spc	FRPG_Phn_DifSpcBmpMulLit____HemEnvLerpPntS.fpo	19976	f33736abc100ff89c294eace3079aaabd5f28765ea48a2fc43ecdd5494b9b6ab	1642	1646	1656	21120	de84eaf22e81ce9458b8aac11f5725fb182a09420c68cfb57a638c4fbab1a2ea
117	785	27	spc	FRPG_Phn_DifSpcBmpMul___Csd_HemEnvLerpPntS.fpo	21256	9fb794fe8f23d46a9c3dc65016d1316e23f37b87b5a75408ed25e6d0d5338a0d	2015	2019	2029	22400	4242ab66aa99501c49cfa5f7dcc274e249b539d7cf7809c5847e058d2e860fe9
118	804	28	spc	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvLerpPntS.fpo	20956	70277960c95f756fb474ed592084cdd76c9a1c45ec23306bdb159a0a0f2c020f	1924	1928	1938	22100	3843f0b3880dbfce64ac3a151d217df92139f7beb6ea5c8267091789911c37dd
119	823	29	spc	FRPG_Phn_DifSpcBmpMul_______HemEnvLerpPntS.fpo	19460	d4427a89a83b526001ec9492f63b213c3faebd2266d102f163453e78d883d97e	1577	1581	1591	20540	5f7df04444e445222a08f6bc5571bb926bd12dcc67cd1fb1c128f4414ce36e5a
120	842	30	spc	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvLerpPntS.fpo	20340	bdcdaeee0ef1667006045e97e4ac13a4bf296c94af1aedfb0e9e9ca42fa66ad3	1804	1808	1818	21356	a68c26ca5eb24a8dc70078404cca51339a5603f3a21802c6c3c1b66cbc188a7e
121	861	31	spc	FRPG_Phn_DifSpcBmp___LitSdw_HemEnvLerpPntS.fpo	20040	1af174d97ab77420b1ac268eb1b4329ebbfba68e982629f667f9291446255a83	1713	1717	1727	21056	dca3a23f58692eb51e387546b89317ab59027b3992c19ddf87e0be4df0e72362
122	880	32	spc	FRPG_Phn_DifSpcBmp___Lit____HemEnvLerpPntS.fpo	18556	8641dd88aa3da0cf8a71f1b5340dc9ba61fde75a4c32265e1fd7d2bcea78a7e0	1369	1373	1383	19508	59d1adc00176b4b6d47b10e0ec3a8638aa2501518ab618c24bf566099275428a
123	899	33	spc	FRPG_Phn_DifSpcBmp______Csd_HemEnvLerpPntS.fpo	19872	d5000bccc129fcd8486ffe990aa5220015b923b8a4417fd24f936db267bfee32	1745	1749	1759	20824	f1d513686a2adb46f54e89f06128ca91b84170a29f6c7dd7e70cd504ec47a9db
124	918	34	spc	FRPG_Phn_DifSpcBmp______Sdw_HemEnvLerpPntS.fpo	19572	1d1866c8cc986dfc7e275178705a7eb5ec1f7562fd7e478c3713e1fb17112a56	1654	1658	1668	20524	9b0df56c08d95d276c655895ce16f0fe47ea86978ac7f9d067e147fb122bb27c
125	937	35	spc	FRPG_Phn_DifSpcBmp__________HemEnvLerpPntS.fpo	18076	34e90a3ba0aaa2e3517ef3b641771e23fbcc6625e702424844938e18fa20aad4	1307	1311	1321	18964	92a6bea23af97c0f83f180a9c317c91d8b3b0abbcf2ebfc3cab1f074a47923b1
126	956	36	spc	FRPG_Phn_DifSpc___MulLitCsd_HemEnvLerpPntS.fpo	19720	cd7fb530b9653f524432284500bd7c2f3eb67a5999fda809e48ab88b6d2ea964	1633	1637	1647	20800	719caa2b15c480ad6235e41544b77df49fb2659cc7a5bc84cbd214db8f2f419c
127	975	37	spc	FRPG_Phn_DifSpc___MulLitSdw_HemEnvLerpPntS.fpo	19420	c35613f8b8df937e329ad06b133438dafdf1c2af5909f2eecdab5ea2351c8a3b	1542	1546	1556	20500	8225c72a343c722644a119eca535e206cf469cefa96e7d59bd0128511f6e66df
128	994	38	spc	FRPG_Phn_DifSpc___MulLit____HemEnvLerpPntS.fpo	17932	6c2f8ab885d04de2069b8c3ffc5cb2f310cb008a852ea7fa3ef0f55686f04a2f	1198	1202	1212	18948	7520ecff738b548b33af1fd1e7267f336438e240fefab0a073f7ae21ffbb33b5
129	1013	39	spc	FRPG_Phn_DifSpc___Mul___Csd_HemEnvLerpPntS.fpo	19212	72083a83cbdff7f9a8882273ac2c9329d5bf70bd7c2f94730051c659bf55f677	1571	1575	1585	20228	6f246e6ec7686349e91bf060bd08a681eb3a6175bfff48fd4f97ce6631479c39
130	1032	40	spc	FRPG_Phn_DifSpc___Mul___Sdw_HemEnvLerpPntS.fpo	18912	fb96cf11f847c93ac35558bfbe4e3868a120acf4d344c18f3d53353e097d9665	1480	1484	1494	19928	4f3c8da13cf9f8ed80c50c7f8b3093a78ef5fb053ed5858d4128a75d5764038b
131	1051	41	spc	FRPG_Phn_DifSpc___Mul_______HemEnvLerpPntS.fpo	17416	a747e74006d1f705a8f21fa3e50b6500e78d5425d3f8216c4efad275247a5939	1133	1137	1147	18368	9bcbcf3e0cf03b7dd4ee9ce94857596f89df34b5eae01c64c48461f7edcb319b
132	1070	42	spc	FRPG_Phn_DifSpc______LitCsd_HemEnvLerpPntS.fpo	19180	3ea85cd759286c2f85636c69292881a5b9dcae0283bcaa00df7067cb7b3cafd7	1547	1551	1561	20132	c34bf589806a2b18d9b484321fe467b73dac1cc6ba797886cdc7d7d7da5f2613
133	1089	43	spc	FRPG_Phn_DifSpc______LitSdw_HemEnvLerpPntS.fpo	18880	04b8d32a51810280dedb7eb856dfb4803c5b5495d7dd3910668983e3727a571a	1456	1460	1470	19832	4ae1752842a381c3eff79adf9f767aa29a73c88e317145c86a3cbad35061d83a
134	1108	44	spc	FRPG_Phn_DifSpc______Lit____HemEnvLerpPntS.fpo	17396	58f8428940fecf621f559ba4d6d92b9e7cd140d5bc4cc0ca10d88c69fa36be40	1112	1116	1126	18284	41575a37e40d9808815905f10b00cc23f2603387301771c0ade87f0c7e265d87
