# DSRRL Upper/Lower Phn HemEnvSubsurf unique executable authority v1
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# selection=24 Spc HemEnvSubsurf executable SHAs not byte-identical to earlier base/Parallax authority; exact U/L triad only.
# receiver IDs 33..35 are DSBT body special cases and must route through Subsurface->plain HemEnv + U/L combined path, not standalone stock-Subsurf U/L.
plan_index	shader_index	stable_receiver_id	stratum	name	stock_size	stock_sha256	u_slot_word	d_slot_word_0	d_slot_word_1	replacement_size	replacement_sha256
156	736	24	spc	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvSubsurf.fpo	22940	8a0add10ee47db171128d9b50684425784b802edf832b453cfda162fe36d3cac	2342	2346	2356	24212	ca3ada6504b239153fa933782c06eba5ba9845dea450fc7c9125e24bc89d5e2e
157	755	25	spc	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvSubsurf.fpo	22640	27ba382dba77180f8a21e27bdb927be7ef6f021567139275e35bb686556e6592	2251	2255	2265	23912	abda451fa9dc84722f2ce5c2716c458e31581f38659ad591e352978162c0969d
158	774	26	spc	FRPG_Phn_DifSpcBmpMulLit____HemEnvSubsurf.fpo	21156	4c0e4e5e49e17dc7c2826fb8d265ab4e4265a72360fac1d31f902c2f7bbcab3f	1907	1911	1921	22364	f3bc031d36fe5a7555d6e573c52ec6cff0e8175f91f91add6c961ac75304215e
159	793	27	spc	FRPG_Phn_DifSpcBmpMul___Csd_HemEnvSubsurf.fpo	22436	f9a53a9a33187ed0262909c7a41c6ddc3c4ca777d7faf664489ebd2f1f19cda3	2280	2284	2294	23644	b7c124c41828f42ebaeef6b115ef408b5eef49deb9b018762e100c8a9a2f55aa
160	812	28	spc	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvSubsurf.fpo	22136	ea60c1eca9aab517d3309399ad4f33fcaa2b5d09a3895c78e5a5c831be702ec2	2189	2193	2203	23344	d068af279a835c9873427b39421a43deccb83a79f0ea036c6508f88db238865c
161	831	29	spc	FRPG_Phn_DifSpcBmpMul_______HemEnvSubsurf.fpo	20636	b5ffe07c6fe3af0a52004a522de45d3106a40a079466c7c76e30669c97019efe	1842	1846	1856	21780	86cd33937d72111d66380e3925ae05fa2649b2842544b50104684bfaf01831ef
162	850	30	spc	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvSubsurf.fpo	21520	98fa4569edf85525811151c9ae56cdf144f9afbb72d96e15016e87a3600b6096	2069	2073	2083	22600	fb6db58a8b2e0d5fc0964954101213d2362bb9d12be5c29d6baeeb5b1873941c
163	869	31	spc	FRPG_Phn_DifSpcBmp___LitSdw_HemEnvSubsurf.fpo	21220	8aa6b456ca8c99a33037d569fc4deb26e49cfd5bd6fe4739c204bd936ec8b29b	1978	1982	1992	22300	a00d323cbf5c01fac3beee901c130a39107bfe412aa196901e8c9bc844fc0f06
164	888	32	spc	FRPG_Phn_DifSpcBmp___Lit____HemEnvSubsurf.fpo	19736	c6bc5f9fdbcf61c55bee583c537ce3e602e746af79af41bad3967af15b6ec905	1634	1638	1648	20752	17793a4affa91fa95c698c457e46eb36ef407f1dd330906618a31ba7f335f6f5
165	907	33	spc	FRPG_Phn_DifSpcBmp______Csd_HemEnvSubsurf.fpo	21052	0b8288d686c8f349ad87352946be51ffd007462f25357326bf47e736e690e511	2010	2014	2024	22068	33e6ea451613428f8d48b7ed310b9681589edeea22d139a19b009737a8ba017d
166	926	34	spc	FRPG_Phn_DifSpcBmp______Sdw_HemEnvSubsurf.fpo	20752	885337e50f3d29f086fd18e1f7524f28712031d0264964aef5f37037df7d7bcb	1919	1923	1933	21768	d5e6329dda31b08b95386e878349ff770e9267ee204458b90516c24d3f4fc5f5
167	945	35	spc	FRPG_Phn_DifSpcBmp__________HemEnvSubsurf.fpo	19256	3002cfb9aee6835412399c3be267ab94c5706d7d5030fc4cafc82bc54c55a860	1572	1576	1586	20208	3145fbc517dfcc3ea099f1de6868672bcd877a13b3ce83119c7ae6864a049faf
168	964	36	spc	FRPG_Phn_DifSpc___MulLitCsd_HemEnvSubsurf.fpo	20896	da5f36e465016b4f028a00bdb7ed9d42918a53b130b3d5ca8689d630486a2716	1898	1902	1912	22040	668d499d1ff3774cb72f2d2147b17b766ea909cfea4f9717e5e5fd2cedad868c
169	983	37	spc	FRPG_Phn_DifSpc___MulLitSdw_HemEnvSubsurf.fpo	20596	a1e55218e48af73b2071b7d342256d637fd21920cd2a57a32193b27265b8c60c	1807	1811	1821	21740	c7ffcde305b2b45a6d1ca9cd3f6a2e28f29821ede462eafa793842812ac4c17d
170	1002	38	spc	FRPG_Phn_DifSpc___MulLit____HemEnvSubsurf.fpo	19112	9141856dcaeec77893ef8385e717a6389a1674ad72ddf828d7464768bb43fef3	1463	1467	1477	20192	e914f8fda0630a7f235f579f7b9845f695da3bf024bfb818f3a009fb637685cf
171	1021	39	spc	FRPG_Phn_DifSpc___Mul___Csd_HemEnvSubsurf.fpo	20392	022760f03b6b4cea11e1056b6688d2ffcf562a5f236c8c230f5bfbee96676fed	1836	1840	1850	21472	d2a9d9e0f262beb19b9db8b5993478c59ba07c65c1695c0437626320e0d94e0c
172	1040	40	spc	FRPG_Phn_DifSpc___Mul___Sdw_HemEnvSubsurf.fpo	20092	97a7405f4c0d0f828780dbf7204bf20d58192085cb3e7a323ef2d96cefcdc580	1745	1749	1759	21172	fb49fa474b650d42652ee4f38e84399117624a84973b977e57d2e0ed048c1718
173	1059	41	spc	FRPG_Phn_DifSpc___Mul_______HemEnvSubsurf.fpo	18596	405cc85bc511f790b490429cb2671eff25887eda4be9dd353562eb19cfe37195	1398	1402	1412	19612	7bceafbf0a7fec0df50f04691d0faf50e98aa3b63c12a6183f1f2fd7fb3424e1
174	1078	42	spc	FRPG_Phn_DifSpc______LitCsd_HemEnvSubsurf.fpo	20360	87c6b183f53f370061048cb6bda8d0087261be09f7e53a08ce916c0251e1ce4f	1812	1816	1826	21376	5ee9c63daa0135bceb02e12919fba131452395726c400c27749c87077152f4ae
175	1097	43	spc	FRPG_Phn_DifSpc______LitSdw_HemEnvSubsurf.fpo	20060	5c17170439c9ade024318e1b6f5e8f8c8a8df26ba9fffa7588d300d940be8297	1721	1725	1735	21076	cb4b682b0fc95f2f5dce9dea35c83ea37a1a3c120136fa325126ea79dcaef5bf
176	1116	44	spc	FRPG_Phn_DifSpc______Lit____HemEnvSubsurf.fpo	18576	1e1f18563ac9257010d945cd57c2410830e8f4ec5fd8689529f3db3f502d83db	1377	1381	1391	19528	2795ce707bd896f540463d79be553a8a86e4da74ea6096d1727e1ef83e068722
177	1135	45	spc	FRPG_Phn_DifSpc_________Csd_HemEnvSubsurf.fpo	19892	87da3680f46879b70b6765fc3e87446c305a957cf16652c8003d51356433faa0	1753	1757	1767	20844	fbdd78621b719f7b24cdeed23350bd1cad61c530143fa99ae9b0b50f4295deb3
178	1154	46	spc	FRPG_Phn_DifSpc_________Sdw_HemEnvSubsurf.fpo	19592	3916e9c6de14b98a390d5faa8942399093a83e9615bc2e31fe5240313e6ecd00	1662	1666	1676	20544	b2a2e72424b5cb15763ff730a83b7e96e3e97e69684ef406448689adc68374d1
179	1173	47	spc	FRPG_Phn_DifSpc_____________HemEnvSubsurf.fpo	18092	4cbf560edc2c353b5dfe1391d0478d18604b6e627a9cee4c05eb25ff91c4a8e1	1315	1319	1329	18980	cc34e6873a70b3f928db59d6fdb478922c5660c6a741b3c28ff58a61bc34a9b2
