# DSRRL Upper/Lower sfx exact executable authority v1
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# one row per unique executable SHA; exact U/L triad only; byte-identical aliases are deduplicated by stock SHA.
plan_index	shader_index	stable_receiver_id	stratum	family	declaration_word	name	stock_size	stock_sha256	u_slot_word	d_slot_word_0	d_slot_word_1	replacement_size	replacement_sha256
261	1649	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMulLitCsd_HemEnv.fpo	22096	3957f5c2c512f75fb25e6c3013ea4a08e382f514b415d6fcf5fe01d55fa5f0c2	2077	2081	2091	23304	d6ef0cdfe8d38b4631656fc850d2bae568163c83dbf46b989ac647d10cfd7357
262	1651	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMulLitCsd_HemEnvLerpPntS.fpo	22112	7b2fd4802f57ffa00a040ecab15627d3d72be886e63b9611e4f171e14615fa64	2077	2081	2091	23320	68c12ead3840a70276943e695e6f499977833e2252cb67f2121444a2daa39604
263	1655	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMulLitSdw_HemEnv.fpo	21796	d922e9ef3f3a0ac8e75f3ece59e9e3ed633aa6f9d8a8b3b5ca513d8551ae81fa	1986	1990	2000	23004	150fa2131160384b38de9408cabf825716632cf5907ae1ea34a11dbb040158b0
264	1657	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMulLitSdw_HemEnvLerpPntS.fpo	21812	41efa1f6b5ff8b393127d15e4c355f137fec98d397a22e1e16ebcfc128fe5d6d	1986	1990	2000	23020	db4b3ca81549133b4d4d547c2c73afcdbecd07ab708c6b421638d190031c6342
265	1661	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMulLit____HemEnv.fpo	20312	a7e4a108ccf156bd3b07154e74cc5ec070011b94c234e5fa4a321b20e49cee83	1642	1646	1656	21456	c17e9bfe102d8845f38ceaa12e430e29da6c85a5cce22062c7a53214d648a85c
266	1663	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMulLit____HemEnvLerpPntS.fpo	20328	64eb5c0386be329bba358390a72df5a0f72cd11d1a303d4f81eeb80314abe095	1642	1646	1656	21472	b054a4ccd72200bf01aee772494ebdfea61bc279fbdc8b10033ff3003fe90b82
267	1667	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMul___Csd_HemEnv.fpo	21704	78b341ade4e4832714137f1bb79c1a8ebc94fcb8e03c1fcd46c742209cbc0b94	2022	2026	2036	22912	0e9f74e60cc5cca634f47c3bcd58f2f825cfdaf82e0b52ed8553ab881c449a65
268	1669	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMul___Csd_HemEnvLerpPntS.fpo	21720	57cbf1c70342f1cc627e3b50c45a3d7fbc12bca4dc2d1a18651d95fd0a13762c	2022	2026	2036	22928	2da12984b58e0296165c36e27df63e588a80fa021e977002627ba9b96b6a2dad
269	1673	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMul___Sdw_HemEnv.fpo	21404	9216dc9ed6ae6834b22baa7f7e0b6a7c2f2ed457810c855589da6fc2caf328c6	1931	1935	1945	22612	b522ae72445687016ad5e8797ba38abf244b5b167a46994eb00e84228befdd75
270	1675	0	spc	sfx	11	FRPG_Sfx_DifSpcBmpMul___Sdw_HemEnvLerpPntS.fpo	21420	4be8d677134c32078d91e6a819b5fdc4247cb17f983651860e0a7b82722745b1	1931	1935	1945	22628	d9d19a15ef266d04b13c9acd56d9a7a40c4d5faec58e2fff20f935613cbd0af8
