# DSRRL Upper/Lower snow exact executable authority v1
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# one row per unique executable SHA; exact U/L triad only; runtime remains fresh-selector gated and fail-open.
plan_index	shader_index	stable_receiver_id	stratum	family	declaration_word	name	stock_size	stock_sha256	u_slot_word	d_slot_word_0	d_slot_word_1	replacement_size	replacement_sha256
333	1937	0	nospc	snow	11	FRPG_Snow_LitCsd.fpo	23156	7bc45c3e138b4f0632dd675aacef7f4f50462663bba9a61c4ebaa718f9cc0444	2454	2458	2468	24300	efbd8434d52b6b734b0223fb8d3f5d546eb99f0d38c76b5999a1ab4d51d08739
334	1938	0	nospc	snow	11	FRPG_Snow_LitCsdPntS.fpo	23172	4c28ecf22cd2f9c232bf68db897550835f2ecff47ceb9f71af8f8dbfc00f3ab9	2454	2458	2468	24316	4fd7063087c49d964da8d897463e21ff0d321826119b7b588dafeaaa3da653cf
335	1941	0	nospc	snow	11	FRPG_Snow_LitNcs.fpo	23004	f001b48b740c2192d20379dee0a56cdfa1bf9b3757e0290db23e769c899bf3e3	2406	2410	2420	24148	e8a90a489bf380ce718ff00c2d63e84ea255f13b8a87408988e69e38557a392f
336	1942	0	nospc	snow	11	FRPG_Snow_LitNcsPntS.fpo	23020	06bdd11829b0840e390a6e815642845d3181c92555e458045e922cdd9c2d07fd	2406	2410	2420	24164	79b60169bca63ca1669a8707a10eb1e0d798c2a3ff003f29bd7cbc825238ad4e
337	1945	0	nospc	snow	11	FRPG_Snow_Lit___.fpo	21344	ff758e75d3ac22c87017c9a397afb583f3e3bc708846aebdf315f7b1554b495f	2012	2016	2026	22424	114f4f6266b0bf64220a1afd326a1791c0b4cd0ef1875732b0cf2bc8c69b183b
338	1946	0	nospc	snow	11	FRPG_Snow_Lit___PntS.fpo	20880	66a33bb31b188f37932567a460295b5caec1b2ea0aa41bbb7012c643b0dc424e	1950	1954	1964	21896	e54eceba4e4821681f11ba2956da2624cf67df8bbffa3aa69c3f2b97ba9e4845
339	1949	0	nospc	snow	11	FRPG_Snow____Csd.fpo	22688	1e864c3906a52c7a9897b34d11570dcdca83cef789a8d10a5686e6ca0c7b481e	2395	2399	2409	23768	f3f402867b7016c51f1e1efa926d4084e731cf9ef219a7940c4ebd488fd6f016
340	1950	0	nospc	snow	11	FRPG_Snow____CsdPntS.fpo	22704	2acf2b661cb6fb67c2ca2436e73c32af19d8e642fa8987f58795a8be243ba8f8	2395	2399	2409	23784	25f9d9d59e8c47c19a38161e5b64070c2b1742b6051e801a481a6da39edc7a81
341	1953	0	nospc	snow	11	FRPG_Snow____Ncs.fpo	22536	503c3cf771e6888a4498391187708b9d535e82eab3f12c2bff81f027e59207e9	2347	2351	2361	23616	6bb8715ebe3c20a49b8d22432232dacc7b41b552cf53e80ef60b9a7f33aa5e55
342	1954	0	nospc	snow	11	FRPG_Snow____NcsPntS.fpo	22552	364f2c48371a324727990a7278a07f20a1185259d18ac573c52304c633f2cd00	2347	2351	2361	23632	85f50cfde4545e02c99c1759f09c984cd6597034700fda1e724f2d5c9a0a9b83
343	1957	0	nospc	snow	11	FRPG_Snow_______.fpo	20864	b83bbbf72bb743ebe1f9e0d9df6eec50c15609e906254059d19cbc0352bfc4f2	1950	1954	1964	21880	8d36e826eefaa47573c54470402fc8de6513a327751781ee6752bbb50ea0a214
