label	original_sha256	code_size	cb0	cb1	pow	v210_w0	v210_w1	v211_word
FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvLerp.fpo	2dec61db609109cf856505add0561cb96837b776eb68c6dc68328eddb994dd7d	22268	1541	1631	1645	1664	1665	1658
FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvLerp.fpo	d23134ad7300feb326999c404496280e318ae7d1fded8bfdcb07f6870b5ae0ad	21968	1450	1540	1554	1573	1574	1567
FRPG_Phn_DifSpcBmpMulLit____HemEnvLerp.fpo	8d39fafa8fafc0515b8225e72eba3a128352f813469abe18877dd550a35d68c9	20480	1106	1196	1210	1229	1230	1223
FRPG_Phn_DifSpcBmpMul___Csd_HemEnvLerp.fpo	3d693cb4a4ea671a0dc22b7d055a9c0537ab60783a960486000bed5cef1dfc9b	21760	1479	1569	1583	1602	1603	1596
FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvLerp.fpo	8019f3bee9d249387d95c4c3dd1a07042c5fde6feeee82b64a429f36e3532b10	21460	1388	1478	1492	1511	1512	1505
FRPG_Phn_DifSpcBmpMul_______HemEnvLerp.fpo	1d6e6484fc9dbd8720f9649fc2d921d9f905f0821b6876600d6dc3aededbb18e	19964	1048	1138	1152	1171	1172	1165
FRPG_Phn_DifSpcBmp___LitCsd_HemEnvLerp.fpo	f76551a54acb84bc6e4bf39f7b267e9f3e70ccf6f6361a42820dd176a8fc82f7	20848	1268	1358	1372	1391	1392	1385
FRPG_Phn_DifSpcBmp___LitSdw_HemEnvLerp.fpo	9bf243a4fb85115dd7d90e8721ec81a9e52139d76e4a78247b87c737ff360c3d	20548	1177	1267	1281	1300	1301	1294
FRPG_Phn_DifSpcBmp___Lit____HemEnvLerp.fpo	0acf2a9735ef8792383ca94c43673e367feffbde1f47155e045e66a322dc6201	19064	833	923	937	956	957	950
FRPG_Phn_DifSpcBmp______Csd_HemEnvLerp.fpo	7f113b3614f401de8f03cbc03f004fd71152f606cf58c86232c423479257fd85	20380	1209	1299	1313	1332	1333	1326
FRPG_Phn_DifSpcBmp______Sdw_HemEnvLerp.fpo	857aa73d1d2f7ab839d4e9feae29be5b9462e18a34305ade219e5ee2a85af9db	20080	1118	1208	1222	1241	1242	1235
FRPG_Phn_DifSpcBmp__________HemEnvLerp.fpo	9075b0806f0a8560977f096780aa68f44ef02be25d71be05bd51d802dca6d7e8	18580	778	868	882	901	902	895
FRPG_Phn_DifSpc___MulLitCsd_HemEnvLerp.fpo	a5831ca3cd472188851f4a9b641f172706dba07d50f7d6e287831cbaa4c0fc03	20224	1097	1187	1201	1220	1221	1214
FRPG_Phn_DifSpc___MulLitSdw_HemEnvLerp.fpo	68f61f4dd8acef143fce844e517f0fc613f59b352e4314316c496afa897cc992	19924	1006	1096	1110	1129	1130	1123
FRPG_Phn_DifSpc___MulLit____HemEnvLerp.fpo	5b88adbbc4722b5e18659f35722ce3c27d3d43f7572b8010f7df304c65fd9456	18440	662	752	766	785	786	779
FRPG_Phn_DifSpc___Mul___Csd_HemEnvLerp.fpo	f9d8ba63e775115eafaf92684ee33f9ea1708c5e542531b0c541a159958ec81c	19720	1035	1125	1139	1158	1159	1152
FRPG_Phn_DifSpc___Mul___Sdw_HemEnvLerp.fpo	49b57335bf3270a64c449b16a6782f04f936251207b4525e2453dd4308194687	19420	944	1034	1048	1067	1068	1061
FRPG_Phn_DifSpc___Mul_______HemEnvLerp.fpo	5b14ed0b3fe6124a8ecdc96c2b9e06f360cad628df245a2c528abe4980b30166	17924	604	694	708	727	728	721
FRPG_Phn_DifSpc______LitCsd_HemEnvLerp.fpo	a8288c1e83fd75d55124780c3bfbbcfa96b827d2db88307a2f91a8585e4bfa26	19688	1011	1101	1115	1134	1135	1128
FRPG_Phn_DifSpc______LitSdw_HemEnvLerp.fpo	ff2beb1489b457415bd0ff5ad705e664d40d0ac2d6f705c137afc388fc558d2c	19388	920	1010	1024	1043	1044	1037
FRPG_Phn_DifSpc______Lit____HemEnvLerp.fpo	4fb909fff77ed0cae13196938dddf53fb4df49d5c7039c190dcb024741951dd9	17900	576	666	680	699	700	693
FRPG_Phn_DifSpc_________Csd_HemEnvLerp.fpo	663a6dfda501d473214687c8d96ff88977e2a9e53be849ee95e08a2e4e5bcb06	19216	952	1042	1056	1075	1076	1069
FRPG_Phn_DifSpc_________Sdw_HemEnvLerp.fpo	080751b9317ce817d2165e6b26a868b024095884c34925d521d4fc89d784bef9	18916	861	951	965	984	985	978
FRPG_Phn_DifSpc_____________HemEnvLerp.fpo	7ea84766aa9ca950bfe40b74f615c2a8b78ed5afec3a73dc9cf6e9f6babd85fc	17420	521	611	625	644	645	638
