pair_index	label	original_sha256	stock_size	cb0	cb1	pow	v29_sha256	v210_w0	v210_w1	v210_sha256	v211_word	v211_sha256	replacement_size
0	FRPG_Phn_DifSpcBmpMulLitCsd_HemEnvLerp.fpo	2dec61db609109cf856505add0561cb96837b776eb68c6dc68328eddb994dd7d	22268	1541	1631	1645	c4e8b9c54056dc7207faf8207ba89dcfd43dd0125c81a21155b3b51e791f5d85	1664	1665	25ed3125d663728d2cd81c6267c7aa578426efc6f612b1d14dc0cd6720e05a65	1658	108a4bac9bbb5f243f577dd5b34074ce3aaed4f588c91243330ac70589000f01	22284
1	FRPG_Phn_DifSpcBmpMulLitSdw_HemEnvLerp.fpo	d23134ad7300feb326999c404496280e318ae7d1fded8bfdcb07f6870b5ae0ad	21968	1450	1540	1554	90eac4ebbc86835005c749013720547418185ff55dce2b1f7206cc63f70ef001	1573	1574	b3180d02117e5b5f8a0cc44f819f02f87098e88d0dbbed02e2df3f735b3a775c	1567	8ae78bcbe77214e5b549d036a6237c8a98284c85bef492a834b4dd527dfc0f73	21984
2	FRPG_Phn_DifSpcBmpMulLit____HemEnvLerp.fpo	8d39fafa8fafc0515b8225e72eba3a128352f813469abe18877dd550a35d68c9	20480	1106	1196	1210	b67fc77ceb4aaa0b276de9c08a9fac8a6b7dfeba0b0d6112d5ada46d3ba32ae3	1229	1230	576c79f75a0aa2893e1903557c34d2c6fbb059397f427b93b3298adb69d2563a	1223	075e71a1a03d1b555af7c257c9a4c02bf43360695e8df60e6b78a320b27cb7fc	20496
3	FRPG_Phn_DifSpcBmpMul___Csd_HemEnvLerp.fpo	3d693cb4a4ea671a0dc22b7d055a9c0537ab60783a960486000bed5cef1dfc9b	21760	1479	1569	1583	be476ee1f7a439ddad922b7948800b423eaecb8eaed0953d704587fe23879c4f	1602	1603	2222262ec9ad1c5aa40cd48927b3b01c5d3fc8d2b9b4461c2f20968d318c59f5	1596	3fc3cacbbaf142e0c46081c12ff5046707fccd1d62910d2a5952433ff7750102	21776
4	FRPG_Phn_DifSpcBmpMul___Sdw_HemEnvLerp.fpo	8019f3bee9d249387d95c4c3dd1a07042c5fde6feeee82b64a429f36e3532b10	21460	1388	1478	1492	d08e3c3c6f675e4478cac10f3141251b52bcbdef61b9472bbdefd8130555039f	1511	1512	cfa6bd5bce2f9b3156987e1b9981d01fc85d7a08b7413de006b3e4c5294e4549	1505	09343811aaae5e67e59522f060a5416bec89ccf58982ef469ec1c9c79ab05f4e	21476
5	FRPG_Phn_DifSpcBmpMul_______HemEnvLerp.fpo	1d6e6484fc9dbd8720f9649fc2d921d9f905f0821b6876600d6dc3aededbb18e	19964	1048	1138	1152	4ed7b5f8ebfa728d197eb74bf06988c50b5b0dbcc39d35fe4ff9aad662dced2e	1171	1172	18f9a464595733705129b693318413d0efbd1486e1f75fc795c0a74b630dd214	1165	e3cab80d01bf3683bbf9a1b1e7b117ccf39e8016822a20556193342a10b7d54c	19980
6	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvLerp.fpo	f76551a54acb84bc6e4bf39f7b267e9f3e70ccf6f6361a42820dd176a8fc82f7	20848	1268	1358	1372	ca3515b0c97d1719e233fec2d7e211b2dc8866af9781d1cbe9c40b2d61140e20	1391	1392	07d38c1b46754377db9d7adaaab064265cad938e6cfd03ee31c770e30f80f6be	1385	74f8063482bd420aa905618af9ea36db0941606360bcbd0bbf6f570badb8e626	20864
7	FRPG_Phn_DifSpcBmp___LitSdw_HemEnvLerp.fpo	9bf243a4fb85115dd7d90e8721ec81a9e52139d76e4a78247b87c737ff360c3d	20548	1177	1267	1281	736aefca33e6efa7baaaf5ab96442ea2b90c2da784c75312320908c503179354	1300	1301	94216635430235ff5446ffa3bb8be94c4dd61b8452bf6e4ef398835d4ccf96af	1294	28065ae7e559ee83ea5de7aa4f487b18ec9a68c5f9fa8f05427894ea9193dcf6	20564
8	FRPG_Phn_DifSpcBmp___Lit____HemEnvLerp.fpo	0acf2a9735ef8792383ca94c43673e367feffbde1f47155e045e66a322dc6201	19064	833	923	937	0beef01ff6b75b81bf865d4f48aee88127a0aa17b0be430d6b37da151f3d2f88	956	957	ce0d3ff1d8ba4ec19e4ce840e99f2e6bdac0e1095a3239cc31f4b9a9b75295e4	950	e4a60083c95f3cc7bb8df43af29a6e60e1673f7e5954f5fd4a4733d841635639	19080
9	FRPG_Phn_DifSpcBmp______Csd_HemEnvLerp.fpo	7f113b3614f401de8f03cbc03f004fd71152f606cf58c86232c423479257fd85	20380	1209	1299	1313	111ae544615030188ad4e4dd325cdb62be639de7f52aee386fe69c897bcffffb	1332	1333	ad694c7eb64ad6c1752af480c950b7f249980b96a25bda61f50a99b035aca6ff	1326	a876ecc8b93abf6ae1f992e39278b597a875ab3f9d9a23dbe5abc053e7788706	20396
10	FRPG_Phn_DifSpcBmp______Sdw_HemEnvLerp.fpo	857aa73d1d2f7ab839d4e9feae29be5b9462e18a34305ade219e5ee2a85af9db	20080	1118	1208	1222	4bc773c828dcd673ae0791286e482c1dfade8ee58521fad585f206f2bfa2622d	1241	1242	06b81169fd58c7cfddb642185df9b8551d0fa4c909b69c3195828dd5b47bb937	1235	df68fad62b45a6e606342736f51973dc4593cf864d6efe7010cca80b1e458034	20096
11	FRPG_Phn_DifSpcBmp__________HemEnvLerp.fpo	9075b0806f0a8560977f096780aa68f44ef02be25d71be05bd51d802dca6d7e8	18580	778	868	882	6cbf1018dbf097c8170fc9a9df2e8f5eae84f6047714d7a9b94c67b04f753ae9	901	902	3bc747861dffae69492b38449ebd7b09fa58371cf127d64608a436cb4e7aaa65	895	009435e1d2bd9c809254cf9270df2aee8cce6091f5017fcfe75fee313bfddead	18596
12	FRPG_Phn_DifSpc___MulLitCsd_HemEnvLerp.fpo	a5831ca3cd472188851f4a9b641f172706dba07d50f7d6e287831cbaa4c0fc03	20224	1097	1187	1201	95ee9a045928815151244047e2f5340d86bc7472cfb2f899526613121a0e7b7a	1220	1221	e89c9fc2fa51c63dbcb19b21292415586288b7d102280da8f6ee9ee933a675d6	1214	d220a8d58170b5eefba4c16246698926d27080c6b86831056dccd359fcd6d330	20240
13	FRPG_Phn_DifSpc___MulLitSdw_HemEnvLerp.fpo	68f61f4dd8acef143fce844e517f0fc613f59b352e4314316c496afa897cc992	19924	1006	1096	1110	053543b29139568650fa3009afd57634cacf6b638c0c1153ad36e14b1c6664cb	1129	1130	6e4b4e2852d02ac581e99d7ccec5757bd6429e23b1a64f49676b9c7fab9ad0bf	1123	87ea1e316f76aed54f8061319c6a9ecebfbd7308c3dccf764531ed66e1473d40	19940
14	FRPG_Phn_DifSpc___MulLit____HemEnvLerp.fpo	5b88adbbc4722b5e18659f35722ce3c27d3d43f7572b8010f7df304c65fd9456	18440	662	752	766	2e3ca475b52fe18ebd1f2a03975fd27155d3e1de8846fdf679a092cbd4dd95ff	785	786	17ad4079d1eb6b71f02f7aad2e78ce6dbe426b489e39a23b7441e59adff12939	779	e6489a0cea04558fa26cdfcd0e1f4f3d996041e455b08e241d0151ebb64f217e	18456
15	FRPG_Phn_DifSpc___Mul___Csd_HemEnvLerp.fpo	f9d8ba63e775115eafaf92684ee33f9ea1708c5e542531b0c541a159958ec81c	19720	1035	1125	1139	50926f3f758e90adacfbf7a885da243fb22075ab5b8dbd4d053986c22cf5960c	1158	1159	631f6303c7e5a335c5a2f86d909b80aa6b70955ae207137e33b4412a7e61d701	1152	c8298c4e987bcffdab0355be4e6a24cb5d66ea766324a50e15f9777c031d086a	19736
16	FRPG_Phn_DifSpc___Mul___Sdw_HemEnvLerp.fpo	49b57335bf3270a64c449b16a6782f04f936251207b4525e2453dd4308194687	19420	944	1034	1048	c2822b27d50d831a17ebb9cf25d0035a3cb4f482c8370b84dec86e8f3f59c245	1067	1068	9e9833384841409cf54de7eb4c386c4ce1e75e8697abc109726b84a80a19609f	1061	326aea1b23c47973f57d8444930dbb9598e88bc2e806be7f7ea774fe6098a774	19436
