label	original_sha256	code_size	byte_offset	replacement_sha256
FRPG_Phn_Dif___Bmp___LitCsd_HemEnv.fpo	01299fee144ee1ef2aa63c0f5633279a155e37c2c4bd6dbb546967cf7890b04f	19712	14664	2581d7def37b07c2de73ab3ded53ebf849fc87fc7f58fab2597a8744367a724e
FRPG_Phn_Dif___Bmp___LitCsd_HemEnvLerp.fpo	a88f80cacd20e16d139af1d25b3dd5e000f01e065ef8bef79e821e496136a000	20236	15052	2b1735b88a8ca92c61b1e6c0d9968f5b763e5f73a55c7705f3ddb3d2851aaeb3
FRPG_Phn_Dif___Bmp___LitSdw_HemEnv.fpo	0fa0778ed073c62de9c491785088ee376b1a124980a356d0181509e8b57b8d7e	19412	14324	bed52c06146fbfee7aa4d92aa13d9138ace05dabe13d3f2b383a1260c896709b
FRPG_Phn_Dif___Bmp___LitSdw_HemEnvLerp.fpo	a918de8a24760d4d4dcd0a32e8b9b3878734f1de4fe05e41fd64c02bee12111f	19936	14712	df40dceac988e38520d3d497b14dd71f87fa858bf2c13b0b9b8c165388c69882
FRPG_Phn_Dif___Bmp___Lit____HemEnv.fpo	f0ce5a55ebec00d41ce814fc9028457400f25bf2463c4a486bdcd50265468a0c	17928	12840	efcdf5b20ed15c365c31f18972688a148b2b74a4efbc19e5a2e4d458a85b53bf
FRPG_Phn_Dif___Bmp___Lit____HemEnvLerp.fpo	02ced4a14434029b8dcb9989a6ceae6c018982e1ac77d2afbbfdebbe05662fe8	18448	13224	1f3ac00a70ec509fd3560ff16724da65ab42cb81369f39d340a9b1a85e87051e
FRPG_Phn_Dif___Bmp______Csd_HemEnv.fpo	6af3e47d98146b5ea66887c280b560460266ee0eb4768e7b739a1603f4909993	19244	14344	95b61372dd9bc0201a3dac982bf93f28eca8647f65703d167deaad6b3b849dab
FRPG_Phn_Dif___Bmp______Csd_HemEnvLerp.fpo	1046e110fd96fa0dc19f885fddce91c4010598ad33202c6b0a8cb594f3618e30	19764	14728	967d32ec58ecf82b82aeb23a463fbf6c5b98eaaf7dd4ac3d2cdf8073f836fdda
FRPG_Phn_Dif___Bmp______Sdw_HemEnv.fpo	c9333926f06e5a65cbc5950eb8d14d43cb9a80ebc2233d530b6af79d96c84e30	18944	14004	dbab3573623714195d59cbcaf6bd2d0e3c0199391cdb405bbb7016f2e946f29c
FRPG_Phn_Dif___Bmp______Sdw_HemEnvLerp.fpo	e4bdb1f29660c0c1e5748368c3e25da7165687e366e91fe0dd48a041c1346fea	19464	14388	ec6ea66975625916029cc83477d4ece519785b6857161e7962896466a78a60ab
FRPG_Phn_Dif___Bmp__________HemEnv.fpo	a3bf7855d74dd579acadbdcb2feba602972b50e7c3d829416e7b1e41766ca301	17448	12536	e135a31111ed3d820e0f5a6a5df8d55f4374b5c165a98934694ee285334b1ac2
FRPG_Phn_Dif___Bmp__________HemEnvLerp.fpo	8382a4492342ae76bec3432baffe37bac1e179af343d67b8a71fd0dcb6e7048d	17968	12920	2b63b7e3a077dd88f8c054bd30cb1178e118c6d134b4d3ea9f161e85536ac59a
FRPG_Phn_Dif_________LitCsd_HemEnv.fpo	362646161ca19e2005f786cd17ce8a851ea27575531ffbe2d362c1af2036d443	18552	13504	aaf7df13cc518879deea149859b31278d0c81b09d08b4875766e6db383f87d8e
FRPG_Phn_Dif_________LitCsd_HemEnvLerp.fpo	344c22433cc457b26d37f882bb400f8ab83d1c7c2d6de2861360a7f19a6ae1b2	19072	13888	0d343a17e5a7554a6c513a84c820b272fe5f2174ce7c1d92575023bcd3ba1a14
FRPG_Phn_Dif_________LitSdw_HemEnv.fpo	576797104b5e186e728175f73fff36ef06fc9b69cc4a5d78fb092077add901ea	18252	13164	ab6ab667be0e4251a8e3b801a3640f11db2d46afca8459c13d999c93d1ad5cd2
FRPG_Phn_Dif_________LitSdw_HemEnvLerp.fpo	1124469ba634d73790a19f26d022236e8f7565c823ae45a6ca9eb935ce05d7b5	18772	13548	89a83c2b0303a96007e28325b3725434e5cfd05b1d4de3ab928528f4cadfd566
FRPG_Phn_Dif_________Lit____HemEnv.fpo	b8fdbd18f7c283049514961f3541d12f42f851ef9d51833e35c64c1a3c88cd2b	16768	11680	98ff950df3f0d77aabb7872b1fc3622505130cb10043573e6f96629dd9bcf9c3
FRPG_Phn_Dif_________Lit____HemEnvLerp.fpo	d1054cc56a875c79cddf7459827e18bb16c0557a04c34aac2cb5e457ed30e231	17288	12064	f00e7ed36ad952443bcd60841714ce84e659f853adec5508a7ba5f06089fd736
FRPG_Phn_Dif____________Csd_HemEnv.fpo	e4fe85eb47aad8af4773dd66128c52d299d7c0f1318de0306de4e6170e5d12d2	18084	13184	d2d985016bf6ad576c015c856c68d879546d875caf855f77b7b4c159e2c93c25
FRPG_Phn_Dif____________Csd_HemEnvLerp.fpo	faa8b38126bf28e653c593abed0774dc72726564f6c95fb202fd2636d24840b8	18604	13568	025acb7db67d49d90e20a62ebd278d9005f67e63510dc615c60dab43629d4ed9
